20190504,徐汇,衡山路,五原路267号,暂无,0套在售二手房
20190504,徐汇,衡山路,淮海中路1284号,暂无,0套在售二手房
20190504,徐汇,衡山路,岳阳路170弄,暂无,0套在售二手房
20190504,徐汇,衡山路,华亭路71弄,暂无,0套在售二手房
20190504,徐汇,衡山路,襄阳北路66弄,暂无,0套在售二手房
20190504,徐汇,衡山路,安福路3号,暂无,0套在售二手房
20190504,徐汇,衡山路,高安路10号,暂无,0套在售二手房
20190504,徐汇,衡山路,五原路288弄,暂无,0套在售二手房
20190504,徐汇,衡山路,淮海中路1761号,108398元/m2,0套在售二手房
20190504,徐汇,衡山路,新康花园,暂无,0套在售二手房
20190504,徐汇,衡山路,乌鲁木齐南路183弄,暂无,0套在售二手房
20190504,徐汇,衡山路,永嘉路527弄,暂无,0套在售二手房
20190504,徐汇,衡山路,信联公寓,暂无,0套在售二手房
20190504,徐汇,衡山路,乌鲁木齐中路301弄,暂无,0套在售二手房
20190504,徐汇,衡山路,永福路49弄,101711元/m2,0套在售二手房
20190504,徐汇,衡山路,修道院公寓,暂无,0套在售二手房
20190504,徐汇,衡山路,信和别墅,暂无,0套在售二手房
20190504,徐汇,衡山路,淮海中路1200弄,88390元/m2,0套在售二手房
20190504,徐汇,衡山路,复兴西路299弄,暂无,0套在售二手房
20190504,徐汇,衡山路,宛平路297弄,暂无,0套在售二手房
20190504,徐汇,衡山路,长乐路1236弄,暂无,0套在售二手房
20190504,徐汇,衡山路,华亭路11号,85800元/m2,0套在售二手房
20190504,徐汇,衡山路,高安路7号,暂无,0套在售二手房
20190504,徐汇,衡山路,五原路65弄,暂无,0套在售二手房
20190504,徐汇,衡山路,新乐路142弄,112910元/m2,0套在售二手房
20190504,徐汇,衡山路,复兴西路10弄,暂无,0套在售二手房
20190504,徐汇,衡山路,盖司康公寓,暂无,0套在售二手房
20190504,徐汇,衡山路,延庆路96弄,暂无,0套在售二手房
20190504,徐汇,衡山路,延庆路38号,暂无,0套在售二手房
20190504,徐汇,衡山路,巨拨来斯公寓,125135元/m2,0套在售二手房
