20190504,黄浦,人民广场,福海公寓,65240元/m2,2套在售二手房
20190504,黄浦,人民广场,威海路172-190弄,暂无,0套在售二手房
20190504,黄浦,人民广场,黄河新邨,暂无,0套在售二手房
20190504,黄浦,人民广场,承兴里,52870元/m2,0套在售二手房
20190504,黄浦,人民广场,黄河路92号,116279元/m2,0套在售二手房
20190504,黄浦,人民广场,道达里,暂无,0套在售二手房
20190504,黄浦,人民广场,北京西路201-259号,暂无,0套在售二手房
20190504,黄浦,人民广场,顺天村(北区),暂无,0套在售二手房
20190504,黄浦,人民广场,协和里,暂无,0套在售二手房
20190504,黄浦,人民广场,中泰公寓,50355元/m2,1套在售二手房
20190504,黄浦,人民广场,黄陂北路249弄,107066元/m2,0套在售二手房
20190504,黄浦,人民广场,黄河路92号,116279元/m2,0套在售二手房
20190504,黄浦,人民广场,道达里,暂无,0套在售二手房
20190504,黄浦,人民广场,新闸路456弄,暂无,0套在售二手房
20190504,黄浦,人民广场,天安中心大厦,暂无,0套在售二手房
20190504,黄浦,人民广场,江阴路111弄,暂无,0套在售二手房
20190504,黄浦,人民广场,大沽路288号,暂无,0套在售二手房
20190504,黄浦,人民广场,江阴路160弄,暂无,0套在售二手房
20190504,黄浦,人民广场,市政大厦,暂无,0套在售二手房
20190504,黄浦,人民广场,香港名店街,暂无,0套在售二手房
20190504,黄浦,人民广场,碧云花园服务公寓,暂无,0套在售二手房
20190504,黄浦,人民广场,世贸商都,暂无,0套在售二手房
20190504,黄浦,人民广场,北京西路94号,暂无,0套在售二手房
20190504,黄浦,人民广场,北京西路278号,暂无,0套在售二手房
20190504,黄浦,人民广场,新桥大厦,暂无,0套在售二手房
20190504,黄浦,人民广场,中区广场,暂无,0套在售二手房
20190504,黄浦,人民广场,悦达黄浦河滨大厦,暂无,0套在售二手房
20190504,黄浦,人民广场,新昌路353弄,暂无,0套在售二手房
20190504,黄浦,人民广场,成都北路988弄,暂无,0套在售二手房
20190504,黄浦,人民广场,成都北路152弄,暂无,0套在售二手房
20190504,黄浦,人民广场,江阴路61号,暂无,0套在售二手房
20190504,黄浦,人民广场,博硕公寓,暂无,0套在售二手房
20190504,黄浦,人民广场,江阴路249弄,暂无,0套在售二手房
20190504,黄浦,人民广场,新昌路397号,暂无,0套在售二手房
20190504,黄浦,人民广场,怀德里,暂无,0套在售二手房
20190504,黄浦,人民广场,新昌路255号,暂无,0套在售二手房
20190504,黄浦,人民广场,威海路40弄,暂无,0套在售二手房
20190504,黄浦,人民广场,温州路54弄,暂无,0套在售二手房
20190504,黄浦,人民广场,黄陂北路29弄,暂无,0套在售二手房
20190504,黄浦,人民广场,山海关路136-138号,暂无,0套在售二手房
20190504,黄浦,人民广场,北京西路182号,暂无,0套在售二手房
20190504,黄浦,人民广场,北京西路232号,暂无,0套在售二手房
20190504,黄浦,人民广场,北京西路272号,暂无,0套在售二手房
20190504,黄浦,人民广场,北京西路321-323号,暂无,0套在售二手房
20190504,黄浦,人民广场,北京西路126号,暂无,0套在售二手房
20190504,黄浦,人民广场,新桥路52弄,暂无,0套在售二手房
20190504,黄浦,人民广场,北京西路300-360号,暂无,0套在售二手房
20190504,黄浦,人民广场,江阴路166弄,暂无,0套在售二手房
20190504,黄浦,人民广场,江阴路164号,暂无,0套在售二手房
20190504,黄浦,人民广场,延安东路1062号,暂无,0套在售二手房
20190504,黄浦,人民广场,延安东路1122号,暂无,0套在售二手房
20190504,黄浦,人民广场,江阴路150号,暂无,0套在售二手房
20190504,黄浦,人民广场,江阴路33-35号,暂无,0套在售二手房
