20190504,黄浦,打浦桥,金玉兰广场,暂无,0套在售二手房
20190504,黄浦,打浦桥,致远大厦,暂无,0套在售二手房
20190504,黄浦,打浦桥,鲁班路360号,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路21号,89231元/m2,2套在售二手房
20190504,黄浦,打浦桥,富源公寓,65499元/m2,1套在售二手房
20190504,黄浦,打浦桥,鲁班路360号,暂无,0套在售二手房
20190504,黄浦,打浦桥,金玉兰广场,暂无,0套在售二手房
20190504,黄浦,打浦桥,致远大厦,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路21号,89231元/m2,2套在售二手房
20190504,黄浦,打浦桥,双钱公寓,65719元/m2,3套在售二手房
20190504,黄浦,打浦桥,海丽大厦,26898元/m2,1套在售二手房
20190504,黄浦,打浦桥,复兴南苑,101430元/m2,1套在售二手房
20190504,黄浦,打浦桥,裕兴大厦(办公楼),暂无,0套在售二手房
20190504,黄浦,打浦桥,瞿溪路1032弄,73303元/m2,3套在售二手房
20190504,黄浦,打浦桥,联兴大厦,77036元/m2,3套在售二手房
20190504,黄浦,打浦桥,华业公寓,84272元/m2,1套在售二手房
20190504,黄浦,打浦桥,瞿中小区,70199元/m2,1套在售二手房
20190504,黄浦,打浦桥,南塘浜路113-121号,94579元/m2,1套在售二手房
20190504,黄浦,打浦桥,南塘公寓,81664元/m2,1套在售二手房
20190504,黄浦,打浦桥,瑞金商务中心,暂无,0套在售二手房
20190504,黄浦,打浦桥,经纬国际大厦,暂无,0套在售二手房
20190504,黄浦,打浦桥,瞿溪路1190号,暂无,0套在售二手房
20190504,黄浦,打浦桥,瑞金二路260号,暂无,0套在售二手房
20190504,黄浦,打浦桥,瑞金二路256号,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路278号,暂无,0套在售二手房
20190504,黄浦,打浦桥,建国中路65弄,暂无,0套在售二手房
20190504,黄浦,打浦桥,飞纶商务楼,暂无,0套在售二手房
20190504,黄浦,打浦桥,建国中路135号,暂无,0套在售二手房
20190504,黄浦,打浦桥,打浦路459号,暂无,0套在售二手房
20190504,黄浦,打浦桥,瑞金二路386号,暂无,0套在售二手房
20190504,黄浦,打浦桥,肇嘉浜路18弄,暂无,0套在售二手房
20190504,黄浦,打浦桥,斜土路764弄,暂无,0套在售二手房
20190504,黄浦,打浦桥,肇家浜路62弄,暂无,0套在售二手房
20190504,黄浦,打浦桥,建国西路71号,暂无,0套在售二手房
20190504,黄浦,打浦桥,建国西路155弄5号,暂无,0套在售二手房
20190504,黄浦,打浦桥,建国西路5号,暂无,0套在售二手房
20190504,黄浦,打浦桥,建国西路135号,暂无,0套在售二手房
20190504,黄浦,打浦桥,中山南一路865号,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路220号,暂无,0套在售二手房
20190504,黄浦,打浦桥,建国中路151号,暂无,0套在售二手房
20190504,黄浦,打浦桥,建国中路169号,暂无,0套在售二手房
20190504,黄浦,打浦桥,建国中路121号,暂无,0套在售二手房
20190504,黄浦,打浦桥,建国中路105弄,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路254号,暂无,0套在售二手房
20190504,黄浦,打浦桥,丽园路1013号,暂无,0套在售二手房
20190504,黄浦,打浦桥,陕西南路319号,暂无,0套在售二手房
20190504,黄浦,打浦桥,鲁班路318号,暂无,0套在售二手房
20190504,黄浦,打浦桥,鲁班路600号,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路288-2号,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路320号,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路210弄5号,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路200弄12号,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路272号,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路274弄13号,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路274弄7号,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路148弄16号,暂无,0套在售二手房
20190504,黄浦,打浦桥,泰康路210弄19号,暂无,0套在售二手房
20190504,黄浦,打浦桥,瑞金二路396号,暂无,0套在售二手房
20190504,黄浦,打浦桥,瑞金南路342号,暂无,0套在售二手房
20190504,黄浦,打浦桥,瞿溪路1197号,暂无,0套在售二手房
20190504,黄浦,打浦桥,瞿溪路1111弄5号,暂无,0套在售二手房
20190504,黄浦,打浦桥,打浦路38弄119号,暂无,0套在售二手房
20190504,黄浦,打浦桥,打浦路435号,暂无,0套在售二手房
20190504,黄浦,打浦桥,打浦桥路90弄2号,暂无,0套在售二手房
