20190504,黄浦,董家渡,赵家宅小区,暂无,0套在售二手房
20190504,黄浦,董家渡,董家渡路494号,暂无,0套在售二手房
20190504,黄浦,董家渡,东唐家弄29号,暂无,0套在售二手房
20190504,黄浦,董家渡,黄浦区小东门街道616、735街坊地块,暂无,0套在售二手房
20190504,黄浦,董家渡,江阴街44号,暂无,0套在售二手房
20190504,黄浦,董家渡,天灯弄86号,暂无,0套在售二手房
20190504,黄浦,董家渡,陆家浜路667号,暂无,0套在售二手房
20190504,黄浦,董家渡,中华路725号,暂无,0套在售二手房
20190504,黄浦,董家渡,中华路930号,暂无,0套在售二手房
20190504,黄浦,董家渡,中华路922号,暂无,0套在售二手房
20190504,黄浦,董家渡,中华路860号,暂无,0套在售二手房
20190504,黄浦,董家渡,中华路928号,暂无,0套在售二手房
20190504,黄浦,董家渡,中华路路608号,暂无,0套在售二手房
20190504,黄浦,董家渡,复兴东路578号,暂无,0套在售二手房
20190504,黄浦,董家渡,复兴东路464号,暂无,0套在售二手房
20190504,黄浦,董家渡,江阴街31号,暂无,0套在售二手房
20190504,黄浦,董家渡,陆家浜路399号,暂无,0套在售二手房
20190504,黄浦,董家渡,陆家浜路727号,暂无,0套在售二手房
20190504,黄浦,董家渡,陆家浜路365号,暂无,0套在售二手房
20190504,黄浦,董家渡,陆家浜路525号,暂无,0套在售二手房
20190504,黄浦,董家渡,陆家浜路527号,暂无,0套在售二手房
20190504,黄浦,董家渡,江阴路56号,暂无,0套在售二手房
20190504,黄浦,董家渡,多稼路220号,暂无,0套在售二手房
20190504,黄浦,董家渡,多稼路222号,暂无,0套在售二手房
20190504,黄浦,董家渡,东江阴街53号,暂无,0套在售二手房
20190504,黄浦,董家渡,蓬莱路15号,暂无,0套在售二手房
20190504,黄浦,董家渡,光启南路216号,暂无,0套在售二手房
20190504,黄浦,董家渡,和顺街38号,暂无,0套在售二手房
20190504,黄浦,董家渡,鸳鸯厅弄,暂无,0套在售二手房
20190504,黄浦,董家渡,西唐家弄73弄,暂无,0套在售二手房
20190504,黄浦,董家渡,火腿弄12号,暂无,0套在售二手房
20190504,黄浦,董家渡,望云路63弄,暂无,0套在售二手房
20190504,黄浦,董家渡,光启南路332弄,暂无,0套在售二手房
20190504,黄浦,董家渡,梅家街31号,暂无,0套在售二手房
20190504,黄浦,董家渡,中华路353弄,暂无,0套在售二手房
20190504,黄浦,董家渡,江阴街2、4号,暂无,0套在售二手房
20190504,黄浦,董家渡,凝和路180号,暂无,0套在售二手房
