20190504,松江,泗泾,文化路280号,暂无,0套在售二手房
20190504,松江,泗泾,横港路133号,38963元/m2,1套在售二手房
20190504,松江,泗泾,影视公寓,31927元/m2,1套在售二手房
20190504,松江,泗泾,中京苑,25722元/m2,3套在售二手房
20190504,松江,泗泾,江川二村,37478元/m2,0套在售二手房
20190504,松江,泗泾,绿波苑,27612元/m2,4套在售二手房
20190504,松江,泗泾,钰丰商都,26227元/m2,1套在售二手房
20190504,松江,泗泾,绿叶小区(松江),27110元/m2,3套在售二手房
20190504,松江,泗泾,鼓浪路468号,暂无,1套在售二手房
20190504,松江,泗泾,大名公寓,27483元/m2,3套在售二手房
20190504,松江,泗泾,保利十二橡树庄园,35801元/m2,6套在售二手房
20190504,松江,泗泾,绿地小9窝,46059元/m2,7套在售二手房
20190504,松江,泗泾,兰馨苑(泗泾),暂无,1套在售二手房
20190504,松江,泗泾,新城上坤樾山美墅,61263元/m2,8套在售二手房
20190504,松江,泗泾,晶尚坊,33310元/m2,4套在售二手房
20190504,松江,泗泾,新南丽都(公寓),26670元/m2,1套在售二手房
20190504,松江,泗泾,泗泾五金城,暂无,0套在售二手房
20190504,松江,泗泾,晶尚坊(公寓),33862元/m2,0套在售二手房
20190504,松江,泗泾,新城上坤樾山明月,65003元/m2,0套在售二手房
20190504,松江,泗泾,融创壹号公馆,暂无,0套在售二手房
20190504,松江,泗泾,泗通路246号,暂无,0套在售二手房
20190504,松江,泗泾,项山商业广场,暂无,0套在售二手房
20190504,松江,泗泾,塘和家园海康苑,暂无,0套在售二手房
20190504,松江,泗泾,泗滨路666弄,暂无,0套在售二手房
20190504,松江,泗泾,叶家村,暂无,0套在售二手房
20190504,松江,泗泾,世界汇(写字楼),暂无,0套在售二手房
20190504,松江,泗泾,南村小区,暂无,0套在售二手房
20190504,松江,泗泾,山田工业园,暂无,0套在售二手房
20190504,松江,泗泾,开江东路224号,暂无,0套在售二手房
20190504,松江,泗泾,江川北路119号,暂无,0套在售二手房
20190504,松江,泗泾,洞北小区,暂无,0套在售二手房
20190504,松江,泗泾,横港路80号,暂无,0套在售二手房
20190504,松江,泗泾,横港路100号,暂无,0套在售二手房
20190504,松江,泗泾,横港路127号,暂无,0套在售二手房
20190504,松江,泗泾,横港路159、161号,暂无,0套在售二手房
20190504,松江,泗泾,横港路18弄208号,暂无,0套在售二手房
20190504,松江,泗泾,横港路18弄82号,暂无,0套在售二手房
20190504,松江,泗泾,横港路18弄198号,暂无,0套在售二手房
20190504,松江,泗泾,横港路149、151号,暂无,0套在售二手房
20190504,松江,泗泾,横港路72号,暂无,0套在售二手房
20190504,松江,泗泾,横港路689号,暂无,0套在售二手房
20190504,松江,泗泾,横港路641、643号,暂无,0套在售二手房
20190504,松江,泗泾,横港路645、647号,暂无,0套在售二手房
20190504,松江,泗泾,横港路37-45号,暂无,0套在售二手房
20190504,松江,泗泾,新家园路251弄6号,暂无,0套在售二手房
20190504,松江,泗泾,新家园路182号,暂无,0套在售二手房
20190504,松江,泗泾,泗凤路127、129号,暂无,0套在售二手房
20190504,松江,泗泾,泗宝路62号,暂无,0套在售二手房
20190504,松江,泗泾,泗砖路1弄319号,暂无,0套在售二手房
20190504,松江,泗泾,泗砖路1弄93号,暂无,0套在售二手房
20190504,松江,泗泾,泗砖路639号,暂无,0套在售二手房
20190504,松江,泗泾,泗宝路110号,暂无,0套在售二手房
20190504,松江,泗泾,泗宝路32号,暂无,0套在售二手房
20190504,松江,泗泾,泗宝路106号,暂无,0套在售二手房
20190504,松江,泗泾,泗砖路1弄71号,暂无,0套在售二手房
20190504,松江,泗泾,来淞小区,暂无,0套在售二手房
20190504,松江,泗泾,开江中路256号,暂无,0套在售二手房
20190504,松江,泗泾,文化路21号,暂无,0套在售二手房
20190504,松江,泗泾,开江西路714-716号,暂无,0套在售二手房
20190504,松江,泗泾,开江西路684号,暂无,0套在售二手房
20190504,松江,泗泾,鼓浪路542号,暂无,0套在售二手房
20190504,松江,泗泾,鼓浪路220号,暂无,0套在售二手房
20190504,松江,泗泾,鼓浪路510号,暂无,0套在售二手房
20190504,松江,泗泾,鼓浪路733号,暂无,0套在售二手房
20190504,松江,泗泾,鼓浪路128号,暂无,0套在售二手房
20190504,松江,泗泾,沪松公路2791号,暂无,0套在售二手房
20190504,松江,泗泾,沪松公路2781号,暂无,0套在售二手房
20190504,松江,泗泾,沪松公路2765号,暂无,0套在售二手房
20190504,松江,泗泾,沪松公路1982号,暂无,0套在售二手房
20190504,松江,泗泾,沪松公路2775号,暂无,0套在售二手房
20190504,松江,泗泾,沪松公路5050号,暂无,0套在售二手房
20190504,松江,泗泾,沪松公路2519弄2-6号,暂无,0套在售二手房
20190504,松江,泗泾,沪松公路2939号,暂无,0套在售二手房
20190504,松江,泗泾,沪松公路2028号,暂无,0套在售二手房
20190504,松江,泗泾,九干路50号,暂无,0套在售二手房
20190504,松江,泗泾,鼓浪路816号,暂无,0套在售二手房
20190504,松江,泗泾,清泉警苑,暂无,0套在售二手房
20190504,松江,泗泾,杨家弄84号,暂无,0套在售二手房
20190504,松江,泗泾,沪松公路2817号,暂无,0套在售二手房
20190504,松江,泗泾,开江东路100号,暂无,0套在售二手房
20190504,松江,泗泾,开江东路222号,暂无,0套在售二手房
20190504,松江,泗泾,安乐街105号,暂无,0套在售二手房
20190504,松江,泗泾,新农河路500弄504号,暂无,0套在售二手房
20190504,松江,泗泾,西安路45号,暂无,0套在售二手房
20190504,松江,泗泾,横港路46号,暂无,0套在售二手房
20190504,松江,泗泾,金地自在城（三期）,39065元/m2,17套在售二手房
