20190504,黄浦,新天地,合肥路343号,55113元/m2,0套在售二手房
20190504,黄浦,新天地,合肥路592弄,暂无,0套在售二手房
20190504,黄浦,新天地,瑞金新苑,74127元/m2,5套在售二手房
20190504,黄浦,新天地,花园公寓(卢湾),86614元/m2,1套在售二手房
20190504,黄浦,新天地,黄陂南路685弄,暂无,0套在售二手房
20190504,黄浦,新天地,重庆南路157弄,暂无,0套在售二手房
20190504,黄浦,新天地,复兴中路506号,暂无,1套在售二手房
20190504,黄浦,新天地,金钟广场,暂无,0套在售二手房
20190504,黄浦,新天地,重建小区,99218元/m2,2套在售二手房
20190504,黄浦,新天地,丰裕里,67685元/m2,0套在售二手房
20190504,黄浦,新天地,吉安路331号,暂无,0套在售二手房
20190504,黄浦,新天地,顺昌路424弄,暂无,0套在售二手房
20190504,黄浦,新天地,永年路92弄,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路616号,暂无,0套在售二手房
20190504,黄浦,新天地,经纬公寓,87142元/m2,3套在售二手房
20190504,黄浦,新天地,建国东路146号,暂无,0套在售二手房
20190504,黄浦,新天地,生源里,暂无,1套在售二手房
20190504,黄浦,新天地,淡水路262号,64754元/m2,0套在售二手房
20190504,黄浦,新天地,淡水路442弄,105952元/m2,2套在售二手房
20190504,黄浦,新天地,淡水路276号,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路395-397号(单),99500元/m2,1套在售二手房
20190504,黄浦,新天地,普庆里,暂无,0套在售二手房
20190504,黄浦,新天地,国际广场(卢湾),61551元/m2,7套在售二手房
20190504,黄浦,新天地,上海广场,暂无,0套在售二手房
20190504,黄浦,新天地,马当路257,暂无,0套在售二手房
20190504,黄浦,新天地,力宝广场,暂无,0套在售二手房
20190504,黄浦,新天地,曙光大厦,暂无,0套在售二手房
20190504,黄浦,新天地,无限极大厦,暂无,0套在售二手房
20190504,黄浦,新天地,黄陂南路863弄,暂无,0套在售二手房
20190504,黄浦,新天地,复兴中路472号,暂无,0套在售二手房
20190504,黄浦,新天地,香港新世界大厦,暂无,0套在售二手房
20190504,黄浦,新天地,大同商务大厦,暂无,0套在售二手房
20190504,黄浦,新天地,柳林大厦,暂无,0套在售二手房
20190504,黄浦,新天地,马当路440号,暂无,0套在售二手房
20190504,黄浦,新天地,复兴中路476号,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路624号,暂无,0套在售二手房
20190504,黄浦,新天地,肇周路166弄,暂无,0套在售二手房
20190504,黄浦,新天地,新茂大厦,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路345号,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路554号,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路382号,暂无,0套在售二手房
20190504,黄浦,新天地,复兴中路484号,暂无,0套在售二手房
20190504,黄浦,新天地,淮海路1号,暂无,0套在售二手房
20190504,黄浦,新天地,肇周路126弄,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路64弄,暂无,0套在售二手房
20190504,黄浦,新天地,建国东路31弄,暂无,0套在售二手房
20190504,黄浦,新天地,复兴中路489弄,暂无,0套在售二手房
20190504,黄浦,新天地,徐家汇路76弄,暂无,0套在售二手房
20190504,黄浦,新天地,兴业路96号,暂无,0套在售二手房
20190504,黄浦,新天地,自忠路37弄,暂无,0套在售二手房
20190504,黄浦,新天地,复兴中路470号,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路81号,暂无,0套在售二手房
20190504,黄浦,新天地,萝邨,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路636号,暂无,0套在售二手房
20190504,黄浦,新天地,合肥路570号,暂无,0套在售二手房
20190504,黄浦,新天地,顺昌路425弄,暂无,0套在售二手房
20190504,黄浦,新天地,吉安路146号,暂无,0套在售二手房
20190504,黄浦,新天地,西藏南路384号,暂无,0套在售二手房
20190504,黄浦,新天地,自忠路214弄,暂无,0套在售二手房
20190504,黄浦,新天地,顺昌路302弄,暂无,0套在售二手房
20190504,黄浦,新天地,尚贤坊,暂无,0套在售二手房
20190504,黄浦,新天地,西藏南路278号,暂无,0套在售二手房
20190504,黄浦,新天地,湖滨路1688弄,暂无,0套在售二手房
20190504,黄浦,新天地,复兴中路95号,暂无,0套在售二手房
20190504,黄浦,新天地,自忠路60弄,暂无,0套在售二手房
20190504,黄浦,新天地,淡水路89号,暂无,0套在售二手房
20190504,黄浦,新天地,淡水路223弄,暂无,0套在售二手房
20190504,黄浦,新天地,吉安路144弄,暂无,0套在售二手房
20190504,黄浦,新天地,肇周路137弄,暂无,0套在售二手房
20190504,黄浦,新天地,肇周路194弄,暂无,0套在售二手房
20190504,黄浦,新天地,西藏南路356弄,暂无,0套在售二手房
