20190504,黄浦,老西门,静修路35弄,暂无,0套在售二手房
20190504,黄浦,老西门,牌楼路31弄,79166元/m2,2套在售二手房
20190504,黄浦,老西门,安澜路13弄,92564元/m2,1套在售二手房
20190504,黄浦,老西门,人民路958弄,暂无,0套在售二手房
20190504,黄浦,老西门,曹市弄57弄,暂无,0套在售二手房
20190504,黄浦,老西门,西藏南路769号,暂无,0套在售二手房
20190504,黄浦,老西门,淮海中华大厦,暂无,0套在售二手房
20190504,黄浦,老西门,平利公寓,53002元/m2,1套在售二手房
20190504,黄浦,老西门,人民路948弄,暂无,0套在售二手房
20190504,黄浦,老西门,永宁街48-66号,78586元/m2,4套在售二手房
20190504,黄浦,老西门,沙家街小区,81739元/m2,1套在售二手房
20190504,黄浦,老西门,金色黄浦,77128元/m2,2套在售二手房
20190504,黄浦,老西门,中华东波小区,73882元/m2,2套在售二手房
20190504,黄浦,老西门,永惠大厦,77242元/m2,0套在售二手房
20190504,黄浦,老西门,会稽路56号,暂无,0套在售二手房
20190504,黄浦,老西门,淮海商业大厦,暂无,0套在售二手房
20190504,黄浦,老西门,文庙路235号,暂无,0套在售二手房
20190504,黄浦,老西门,方斜路401弄,暂无,0套在售二手房
20190504,黄浦,老西门,静修路79弄,暂无,0套在售二手房
20190504,黄浦,老西门,西藏南路439弄,暂无,0套在售二手房
20190504,黄浦,老西门,静修路126弄,暂无,0套在售二手房
20190504,黄浦,老西门,复兴东路876号,暂无,0套在售二手房
20190504,黄浦,老西门,蓬莱路336号,暂无,0套在售二手房
20190504,黄浦,老西门,梦花街151号,暂无,0套在售二手房
20190504,黄浦,老西门,江阴街174弄,暂无,0套在售二手房
20190504,黄浦,老西门,西仓桥街159号,暂无,0套在售二手房
20190504,黄浦,老西门,黄家厥路38弄,暂无,0套在售二手房
20190504,黄浦,老西门,蓬莱路385号,暂无,0套在售二手房
20190504,黄浦,老西门,西林横路105弄,暂无,0套在售二手房
20190504,黄浦,老西门,蓬莱路377号,暂无,0套在售二手房
20190504,黄浦,老西门,中华路1096号,暂无,0套在售二手房
20190504,黄浦,老西门,大兴街115弄,暂无,0套在售二手房
20190504,黄浦,老西门,同康里,暂无,0套在售二手房
20190504,黄浦,老西门,大兴街53弄,暂无,0套在售二手房
20190504,黄浦,老西门,唐家湾路23弄,暂无,0套在售二手房
20190504,黄浦,老西门,静修路10弄,暂无,0套在售二手房
20190504,黄浦,老西门,梦花街93弄,暂无,0套在售二手房
20190504,黄浦,老西门,肇周路263弄,暂无,0套在售二手房
20190504,黄浦,老西门,西藏南路299弄,暂无,0套在售二手房
20190504,黄浦,老西门,西藏南路1009号,暂无,0套在售二手房
20190504,黄浦,老西门,建国新路69号,暂无,0套在售二手房
20190504,黄浦,老西门,梦花街194号,暂无,0套在售二手房
20190504,黄浦,老西门,学前街152弄,暂无,0套在售二手房
20190504,黄浦,老西门,曹市弄38弄,暂无,0套在售二手房
20190504,黄浦,老西门,学前街64号,暂无,0套在售二手房
20190504,黄浦,老西门,黄家阙路145号,暂无,0套在售二手房
20190504,黄浦,老西门,黄家厥路151号,暂无,0套在售二手房
20190504,黄浦,老西门,黄家阙路40号,暂无,0套在售二手房
20190504,黄浦,老西门,黄家厥路65号,暂无,0套在售二手房
20190504,黄浦,老西门,黄家阙路131号,暂无,0套在售二手房
20190504,黄浦,老西门,黄家阙路143号,暂无,0套在售二手房
20190504,黄浦,老西门,文庙路169号,暂无,0套在售二手房
20190504,黄浦,老西门,树新里,暂无,0套在售二手房
20190504,黄浦,老西门,建国新路85号,暂无,0套在售二手房
20190504,黄浦,老西门,建国新路71号,暂无,0套在售二手房
20190504,黄浦,老西门,建国新路59-63号,暂无,0套在售二手房
20190504,黄浦,老西门,建国新路68号,暂无,0套在售二手房
20190504,黄浦,老西门,中华路991-999号,暂无,0套在售二手房
20190504,黄浦,老西门,陆家浜路1001弄,暂无,0套在售二手房
20190504,黄浦,老西门,梦花街189号,暂无,0套在售二手房
20190504,黄浦,老西门,学宫街19弄7号,暂无,0套在售二手房
20190504,黄浦,老西门,淮海东路35号,暂无,0套在售二手房
20190504,黄浦,老西门,陆家浜路1219号,暂无,0套在售二手房
20190504,黄浦,老西门,黄家厥路145号,暂无,0套在售二手房
20190504,黄浦,老西门,陆家浜路991号,暂无,0套在售二手房
20190504,黄浦,老西门,河南南路192-194号,暂无,0套在售二手房
20190504,黄浦,老西门,西藏南路555号,暂无,0套在售二手房
20190504,黄浦,老西门,西藏南路775号,暂无,0套在售二手房
20190504,黄浦,老西门,西藏南路910号,暂无,0套在售二手房
20190504,黄浦,老西门,西藏南路251号,暂无,0套在售二手房
20190504,黄浦,老西门,西藏南路279号,暂无,0套在售二手房
20190504,黄浦,老西门,唐家湾路381号,暂无,0套在售二手房
20190504,黄浦,老西门,云南南路295号,暂无,0套在售二手房
20190504,黄浦,老西门,大林街59号,暂无,0套在售二手房
20190504,黄浦,老西门,大林路59号,暂无,0套在售二手房
20190504,黄浦,老西门,大林路255号,暂无,0套在售二手房
20190504,黄浦,老西门,大林路75号,暂无,0套在售二手房
20190504,黄浦,老西门,大吉路285号,暂无,0套在售二手房
20190504,黄浦,老西门,大兴街119号,暂无,0套在售二手房
20190504,黄浦,老西门,大兴街26号,暂无,0套在售二手房
20190504,黄浦,老西门,大兴街123号,暂无,0套在售二手房
20190504,黄浦,老西门,大兴街10号,暂无,0套在售二手房
20190504,黄浦,老西门,寿宁路52号,暂无,0套在售二手房
20190504,黄浦,老西门,唐家弄路43号,暂无,0套在售二手房
20190504,黄浦,老西门,学前街68弄,暂无,0套在售二手房
20190504,黄浦,老西门,方斜路434号,暂无,0套在售二手房
20190504,黄浦,老西门,方斜路422号,暂无,0套在售二手房
20190504,黄浦,老西门,方斜路26号,暂无,0套在售二手房
20190504,黄浦,老西门,方斜路8号,暂无,0套在售二手房
20190504,黄浦,老西门,方斜路440号,暂无,0套在售二手房
20190504,黄浦,老西门,寿宁路41号,暂无,0套在售二手房
20190504,黄浦,老西门,方斜路524弄,暂无,0套在售二手房
20190504,黄浦,老西门,肇州路305号,暂无,0套在售二手房
20190504,黄浦,老西门,庄家街100弄,暂无,0套在售二手房
20190504,黄浦,老西门,会稽路55号,暂无,0套在售二手房
20190504,黄浦,老西门,侯家路121弄,暂无,0套在售二手房
20190504,黄浦,老西门,大吉路44弄12支弄,暂无,0套在售二手房
20190504,黄浦,老西门,老道前街30弄,暂无,0套在售二手房
20190504,黄浦,老西门,庄家街92号,暂无,0套在售二手房
20190504,黄浦,老西门,方斜路548弄3号,暂无,0套在售二手房
20190504,黄浦,老西门,梦花街31弄,暂无,0套在售二手房
