20190504,奉贤,奉城,紫苑小区,2室1厅,79平米,1500
20190504,奉贤,奉城,合租,·,16平米,700
20190504,奉贤,奉城,合租,·,16平米,780
20190504,奉贤,奉城,奉贤奉城中建公元名邸别墅整租,毛坯房,160平米,2500
20190504,奉贤,奉城,合租,·,18平米,928
20190504,奉贤,奉城,合租,·,18平米,781
20190504,奉贤,奉城,合租,·,10平米,880
20190504,奉贤,奉城,合租,·,14平米,852
20190504,奉贤,奉城,合租,·,16平米,800
