20190504,静安,江宁路,昌平路地铁口诚意出售 看房方便全明户型,810万,康海大楼  | 2室2厅 | 97.3平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-78b1db21-8446-4944-bb68-2866463cb38e.jpg.296x216.jpg
20190504,静安,江宁路,静安枫景苑珍品四房！百年难得一遇，错过不会在有房主自荐,1650万,静安枫景苑  | 4室2厅 | 151.6平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-58ddd146-c5d2-4777-a701-7eb3586ede9b.jpg.296x216.jpg
20190504,静安,江宁路,静教苑大三房可改4房南北通全明户型高区急售随时看哦,1580万,静安晶华园  | 3室2厅 | 138.97平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6ff3072b-9049-460e-ab8a-152ae5700697.jpg.296x216.jpg
20190504,静安,江宁路,培兴小区+南北通+售后公房+采光无遮挡+看房方便,390万,培兴小区  | 1室1厅 | 54.47平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-040ab0f4-b3d5-4f35-bd89-dfd60c53bf8c.png.296x216.jpg
20190504,静安,江宁路,笋盘昌平路地铁口 满五唯一免个税 看房方便 诚意出售,660万,胶州大厦  | 3室1厅 | 106.38平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-fed499aa-7806-4178-ab03-89b48a28dd49.png.296x216.jpg
20190504,静安,江宁路,复试南北通 小区居中位置 隐秘花园住宅,2100万,南草坪花园(公寓)  | 3室2厅 | 172.02平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-31d60309-a4bd-4a8a-887d-a9c69efef1c8.jpg.296x216.jpg
20190504,静安,江宁路,此房满五唯一，南北通，苏州河景观，高区，带产权车位,1150万,静安河滨花园  | 3室2厅 | 143.33平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-097a103f-305f-4967-87f9-3d2b37025a22.png.296x216.jpg
20190504,静安,江宁路,繁华地段，电梯房，出入方便，户型方正，,761万,达安大厦  | 3室2厅 | 135.34平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-06105bbb-79aa-4fdb-af63-2d5fbd2c5321.png.296x216.jpg
20190504,静安,江宁路,普通住宅免增值税，朝南采光视野无遮挡，户型好,290万,向新新村  | 1室1厅 | 43.15平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-aad1964c-0015-46a0-9ebd-361d3a5a813c.png.296x216.jpg
20190504,静安,江宁路,05年花园小区低总高钥匙房随时看 诚意出售各付税价格,489万,达安锦园  | 1室2厅 | 57.9平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f6eb11da-7734-4838-a9dd-6f9ecfc1f49f.jpg.296x216.jpg
20190504,静安,江宁路,少见大两房 户型正气 楼层适中 闹中取静 看房随时,630万,武定坊  | 2室2厅 | 74.48平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c6bd6614-d423-41da-ace3-e1d279deb640.jpg.296x216.jpg
20190504,静安,江宁路,兴海城+7号线昌平路五百米+全明户型方正,1055万,静安兴海城  | 2室2厅 | 108.38平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-b1ff1cb7-f7ac-4ce7-98c5-f761df0491f8.png.296x216.jpg
20190504,静安,江宁路,静安豪景+全南全明+采光好+视野开阔+看房有钥匙,1380万,静安豪景苑  | 3室2厅 | 138.52平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f80a9cf8-a0c9-454c-861e-710f28b5040e.png.296x216.jpg
