20190504,普陀,光新,内环高架50米，双南户型、融创商圈、满五唯一,510万,城公大厦  | 2室1厅 | 83.52平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-684441aa-9e89-439b-a7fe-b3dfa61a3aa0.jpg.296x216.jpg
20190504,普陀,光新,香溢花城大三房急售 产权清晰 随时可看 采光好,1120万,香溢花城(住宅)  | 3室2厅 | 144平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-584ac194-538f-4b43-a063-840e071bc15b.jpg.296x216.jpg
20190504,普陀,光新,电梯房—满五唯一售后公房，诚意出售看房方便！房主自荐,410万,管弄一二街坊  | 2室1厅 | 65.7平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4d2e6dca-46f8-4cdc-8b9c-190c34b547b6.jpg.296x216.jpg
20190504,普陀,光新,镇坪路地铁三条线满五唯一楼栋位置好,298万,岚皋大楼  | 1室1厅 | 48.85平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-59c7fbb3-9dce-4c97-9455-49b9fb79dc44.jpg.296x216.jpg
20190504,普陀,光新,南北通全明两房一厅 自住精装修 户型漂亮,250万,童家桥小区  | 2室1厅 | 51.02平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-baf7e75b-654f-47a8-b210-3b86a37f99ea.jpg.296x216.jpg
20190504,普陀,光新,朝南一室半，装修不错，采光充足,210万,石一小区  | 1室1厅 | 39.29平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bb84fefa-ab08-438b-a9a0-1a6f9060edbf.jpg.296x216.jpg
20190504,普陀,光新,太浜巷小区 2室1厅 435万,435万,太浜巷小区  | 2室1厅 | 67.46平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-920a04ab-57bc-4786-b153-4b18df8d7cbd.jpg.296x216.jpg
20190504,普陀,光新,品质小区  实惠中区两房  满两年 税费少 诚意出售,849万,香溢花城(住宅)  | 2室2厅 | 108.21平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3fff0f3d-221c-4b6d-9cfc-60856ae8c03c.jpg.296x216.jpg
20190504,普陀,光新,精装一室户 总价低单价低 诚心出售 中楼层 采光通风好,169万,光新三村  | 1室1厅 | 31.98平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e201188b-f6f4-477e-99f7-39a33bb5e1ca.jpg.296x216.jpg
20190504,普陀,光新,秋月枫舍一期，双南两房，大平层，带花园，接地气！,715万,秋月枫舍  | 2室2厅 | 96平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-09bfcee5-d9e0-45ca-8edf-4b3be507606f.jpg.296x216.jpg
20190504,普陀,光新,光新仅此壹套电梯房内环边 .价到签字,330万,岚皋大楼  | 1室1厅 | 48.85平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9caa86fa-5425-41c3-82c6-085e7d6ce2a1.jpg.296x216.jpg
20190504,普陀,光新,温馨精装一房一厅，温馨一个家.,215万,管弄五六街坊  | 1室1厅 | 40.73平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bfac16b1-3d1a-465a-9cd4-57bb29736fee.jpg.296x216.jpg
20190504,普陀,光新,香溢二期小区边位，排距宽 ，视野开阔 ，享受型大四房,1400万,香溢花城(住宅)  | 4室2厅 | 174.11平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-971dfa72-3b4a-463f-9fc4-57097b36b973.jpg.296x216.jpg
