20190504,宝山,张庙,满五唯一税费低，户型全明总价优，采光无限阳光好。,225万,呼玛一村  | 2室1厅 | 55.41平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5bdf39b7-8276-4289-9c67-f4b100008cf4.png.296x216.jpg
20190504,宝山,张庙,自住精装+小户型（低总价）+视野开阔,220万,盛达家园  | 1室1厅 | 54平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9a0d159e-8d03-47fa-99e3-2cee5733d2ac.png.296x216.jpg
20190504,宝山,张庙,民悦苑 2室2厅 400万,400万,民悦苑  | 2室2厅 | 77.68平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2384f434-d20c-428f-86d9-c1fa8806b1c6.jpg.296x216.jpg
20190504,宝山,张庙,满5年唯一，楼层好，双南户型，一梯两户，近地铁,243万,呼玛二村  | 2室1厅 | 55.28平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f768e6f0-24da-44cd-9b0b-1a3f7c5d4261.jpg.296x216.jpg
20190504,宝山,张庙,盛达家园 2室2厅 460万,460万,盛达家园  | 2室2厅 | 90.68平米 | 南 北 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6ec3e6c1-7fdb-49d8-ab85-10324681cdab.png.296x216.jpg
20190504,宝山,张庙,呼玛一村精装修双南，钻石三楼，采光好，正对小花园,255万,呼玛一村  | 2室2厅 | 58.86平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ea5b7d4b-713e-4e0b-85e5-63c4916719b9.png.296x216.jpg
20190504,宝山,张庙,经典小户型，一梯两户，带装修，邻近地铁1号线,190万,呼玛三村  | 1室1厅 | 41.01平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6704ad8b-8549-4b23-a956-9e1141c3d555.png.296x216.jpg
20190504,宝山,张庙,泗塘八村 2室2厅 310万,310万,泗塘八村  | 2室2厅 | 72.61平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bb168016-ce2b-492a-bca9-30e65ffc3e37.jpg.296x216.jpg
20190504,宝山,张庙,楼层好+户型正气+（满五唯一）+总价低+诚意出售,420万,美树铭家  | 2室2厅 | 88.07平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d37b541e-e851-41b4-a873-9434113187e6.png.296x216.jpg
20190504,宝山,张庙,呼玛三村，一梯两户，,LJ地铁一号线,265万,呼玛三村  | 2室1厅 | 55.76平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-0a1cc1a8-c04d-4c3c-958d-6f898fc7e0fc.png.296x216.jpg
20190504,宝山,张庙,房东诚售+小区花园位置+采光好+有钥匙看房随时,218万,盛达家园  | 1室2厅 | 54.94平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d3d0204c-f0fc-435b-a6c6-86c95d312967.jpg.296x216.jpg
20190504,宝山,张庙,厨卫全明，朝北立面的边套大一房值得您来甄选。,165万,泗塘四村  | 1室1厅 | 41.03平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dc88a9c7-cb61-44eb-b556-8cba1e9604f7.jpg.296x216.jpg
20190504,宝山,张庙,通河一村 南北两房 高楼层电梯房 采光无遮挡,280万,通河一村  | 2室1厅 | 64.41平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d9e97190-748c-447c-aba1-4ebe8ae5e021.jpg.296x216.jpg
20190504,宝山,张庙,呼兰路地铁一号线 双南全明两房 采光无遮挡 视野开阔,245万,呼玛四村  | 2室1厅 | 64.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b7a4b342-53a6-4736-a6bd-455ac5cc1a7b.jpg.296x216.jpg
