20190504,宝山,杨行,康桥水都精装修两房，刚需户型，适合居住，出行方便,305万,康桥水都(公寓)  | 2室2厅 | 74.5平米 | 暂无数据 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-109ff8de-e190-4914-806c-93a7421591b1.png.296x216.jpg
20190504,宝山,杨行,满五唯一底楼三房带花园，近地铁，,320万,宝启公寓  | 3室1厅 | 81.93平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2675b1e0-0d08-4e2a-8837-5f68a445ba72.jpg.296x216.jpg
20190504,宝山,杨行,满五唯一，近地铁，带弧形飘窗，房型方正房主自荐,360万,荣域飘鹰锦和花园(公寓)  | 2室2厅 | 90.65平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-043f921f-c6fb-464e-9562-679e12230b76.png.296x216.jpg
20190504,宝山,杨行,万业三房，正对白沙公园，双轨交房主自荐,370万,万业紫辰苑  | 3室2厅 | 95.24平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-225a3885-3e27-4d8f-8a68-a815eb2a8012.jpg.296x216.jpg
20190504,宝山,杨行,满五唯一  采光好 配套设施完善,251万,春江美庐(公寓)  | 1室1厅 | 54.28平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6debc7e8-e5c1-460f-a499-231e75a56b8d.jpg.296x216.jpg
20190504,宝山,杨行,婚房法式精装，全屋嵌入式立体音响，南北通楼层极好房主自荐,460万,远洋香奈  | 3室2厅 | 109.38平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-029c6b8a-7355-410e-ba60-83f312db4254.png.296x216.jpg
20190504,宝山,杨行,香逸湾，满五年，大三居价格可谈,530万,香逸湾  | 3室2厅 | 118.31平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0fd4a3f6-ec23-431f-ab3d-e4ea832ba07a.jpg.296x216.jpg
20190504,宝山,杨行,飘鹰58弄 房子满五年 无户口 次顶楼 西边套房主自荐,580万,荣域飘鹰锦和花园(公寓)  | 3室2厅 | 140.95平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6afd4722-1922-402e-a738-57caf5d3c83f.png.296x216.jpg
20190504,宝山,杨行,简单装修大三房两卫带产权车位 别墅品质物业 诚意出售,440万,招商海德名门  | 3室2厅 | 124平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1446f2fe-253a-4fc0-85d2-ec2e6a3cf5b6.png.296x216.jpg
20190504,宝山,杨行,给你两卫，给你拐角飘窗，给你阳光，再给你整个公园,375万,万业紫辰苑  | 2室2厅 | 94.76平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ea989b4c-1551-407f-8e61-df386025503e.jpg.296x216.jpg
20190504,宝山,杨行,东方丽都大三房 保养好 步行到一号线友谊西路站300米,430万,东方丽都  | 3室2厅 | 128.47平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-38ba70f0-bb73-4551-97f4-6adac8558d55.png.296x216.jpg
20190504,宝山,杨行,春江美庐(公寓) 3室2厅 490万,490万,春江美庐(公寓)  | 3室2厅 | 102.02平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-01cb3d00-3c5e-4340-96dd-400f632b7e2e.jpg.296x216.jpg
20190504,宝山,杨行,高楼层，自住看房方便，因置换诚意..,330万,春江美庐(公寓)  | 2室1厅 | 82.69平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f2e09ba9-c03c-41da-8c54-e36a57d329e8.jpg.296x216.jpg
20190504,宝山,杨行,电梯一房 一梯二户 南北直通 满五唯一 主卧带拐角飘窗,290万,东方丽都  | 1室1厅 | 67.81平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-26e87e0d-bb6e-4e64-bd52-1de9c580a140.jpg.296x216.jpg
20190504,宝山,杨行,大黄馨园一手动迁，无增值税，三房带阁楼带露台,400万,大黄馨园  | 3室2厅 | 116.42平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-acfa1e62-9e32-484b-9e27-e6f829669380.jpg.296x216.jpg
20190504,宝山,杨行,经典一房 满五唯一 低楼层 一梯三户,170万,杨泰三村  | 1室1厅 | 44.07平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ff462d5e-7793-4a61-b93a-6489c4124d56.jpg.296x216.jpg
20190504,宝山,杨行,花园小区， 满两年，精装修，随时可看,405万,远洋香奈  | 2室2厅 | 94平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-383c34af-e62e-41c5-a4fd-b236cb42454b.jpg.296x216.jpg
20190504,宝山,杨行,满5唯1，带产权车位，看房方便。,420万,柏丽华庭  | 2室2厅 | 98.93平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0fd52aa5-ca33-418c-84a0-840f8d6f7169.jpg.296x216.jpg
20190504,宝山,杨行,1号线友谊西路站  06年商品小区 南北通透二房改三房,385万,东方丽都  | 2室2厅 | 93.82平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a02bf38f-1e3d-40aa-af47-278084b5a1df.jpg.296x216.jpg
20190504,宝山,杨行,俯瞰花园 景观楼层 两卧朝南 客厅朝南南北通 无个税,400万,天馨花园(公寓)  | 2室2厅 | 107.33平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5c431056-8b46-41b9-ba5d-003ad07efaef.jpg.296x216.jpg
20190504,宝山,杨行,康桥水都经典顶楼复式，得房率高，改动空间大,445万,康桥水都(公寓)  | 3室2厅 | 151.25平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7c46c6eb-c001-4a89-8c05-073253b98d51.png.296x216.jpg
20190504,宝山,杨行,满五年唯一，经典一室户，价格可议，诚心出售，,190万,杨泰二村  | 1室1厅 | 45.59平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-08d9edb8-918a-4cac-91d7-d801e1dc236a.png.296x216.jpg
20190504,宝山,杨行,海尚明城 1室1厅 230万,230万,海尚明城  | 1室1厅 | 62.13平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-abe6a5ca-ca72-4111-bb22-3e1a9971973a.jpg.296x216.jpg
20190504,宝山,杨行,满五年唯一，普通住宅，没有多余税费，拎包可入住。,215万,海尚明城  | 1室1厅 | 61.17平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-eb832b84-4026-47b6-955f-8433ebe61ba7.jpg.296x216.jpg
20190504,宝山,杨行,外环边次新房，毛坯没有装修，钥匙房随时看,300万,绿地海域笙晖(公寓)  | 2室1厅 | 74.86平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-96936dd3-28a1-4cd1-8776-e989d20c34b3.png.296x216.jpg
20190504,宝山,杨行,难的一见的小户型，总价低 朝向好 交通方便,300万,万业紫辰苑  | 2室2厅 | 70.13平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2fd69911-6db4-4682-9cb3-ba741a800d79.jpg.296x216.jpg
20190504,宝山,杨行,荣域飘鹰锦和花园(公寓) 2室2厅 370万,370万,荣域飘鹰锦和花园(公寓)  | 2室2厅 | 90.64平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-73dbdb8d-fdb4-49b9-93ef-ed940de69c3a.jpg.296x216.jpg
