20190504,宝山,大场镇,楼层好，单价总价低，满五唯一，诚心出售,180万,联建新村(宝山)  | 1室1厅 | 49.72平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-10240f6a-1baa-4107-bd5f-eaaea4ed50ea.jpg.296x216.jpg
20190504,宝山,大场镇,中间楼层 一梯两户，地铁口边上 小两房一厅 诚售,235万,乾溪新村  | 2室1厅 | 54.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f2081a9d-61c2-4430-8c75-d5b2d41d8c06.jpg.296x216.jpg
20190504,宝山,大场镇,小区中间位置 次新电梯2房 开发商精装修新上,450万,同济城市阳光  | 2室2厅 | 83.82平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e741a4a3-94d0-474b-a3ee-f3c518da2ac7.jpg.296x216.jpg
20190504,宝山,大场镇,17年精装修，房东诚意出售，看房方便，交通便利房主自荐,278万,环镇北路600弄  | 2室1厅 | 72平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-14dc3808-e66d-4703-85e5-4f0cc99e2b06.jpg.296x216.jpg
20190504,宝山,大场镇,环镇北路600弄 一室一厅带阳台 采光好,225万,环镇北路600弄  | 1室1厅 | 67.89平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-69a35af6-7ad0-4ea1-9b9d-918f556a6c7d.jpg.296x216.jpg
20190504,宝山,大场镇,满五年空关，业主诚意出售，2楼无遮挡，价格实惠！,205万,南大路180弄  | 2室1厅 | 58.18平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-88585547-c003-42a6-8162-28122601266c.jpg.296x216.jpg
20190504,宝山,大场镇,16年竣工电梯品质商品房，精装交付，非顶楼，潜力大,518万,美诗邸  | 2室2厅 | 95.6平米 | 南 | 精装,https://image1.ljcdn.com/310000-inspection/prod-27b3fd2b-89e5-41dd-a1ca-43486959a6b7.jpg.296x216.jpg
20190504,宝山,大场镇,环镇北路400弄 2室1厅 232万,232万,环镇北路400弄  | 2室1厅 | 55.25平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ffdfc755-cd6e-49bd-884b-4d1dbc13c7c1.jpg.296x216.jpg
20190504,宝山,大场镇,南北两室，边套全明户型价格实惠，位置好，随时可看房,215万,环镇北路400弄  | 2室1厅 | 56.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a863506e-5b4e-4d18-9cfc-533c0b5e1118.jpg.296x216.jpg
20190504,宝山,大场镇,同济城市阳光 2室2厅 410万,410万,同济城市阳光  | 2室2厅 | 82.72平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0dbee02f-aeb8-4c98-864a-a1214d5bc121.jpg.296x216.jpg
20190504,宝山,大场镇,业主诚售，电梯次新房，户型正气，满五唯一，随时可看,465万,上大阳光乾和园  | 3室2厅 | 121.64平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-28d0f272-9a06-4dda-9551-1d4e2b71ccf7.jpg.296x216.jpg
20190504,宝山,大场镇,同济城市阳光 3室1厅 540万,540万,同济城市阳光  | 3室1厅 | 105.23平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4ab5e821-70fa-4ad9-884f-4d5501c9cdf2.jpg.296x216.jpg
20190504,宝山,大场镇,乾溪新村 2室1厅 338万,338万,乾溪新村  | 2室1厅 | 76.19平米 | 西南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-002acbcf-4e5a-414e-83c7-b10d84108511.jpg.296x216.jpg
20190504,宝山,大场镇,（7号）（全明南北通）（精装修）（满二年）,294万,祥泰苑  | 1室1厅 | 60.67平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7fa989fc-4a5b-4bef-94ea-8208e5550590.jpg.296x216.jpg
20190504,宝山,大场镇,上大阳光乾龙苑 2室2厅 298万,298万,上大阳光乾龙苑  | 2室2厅 | 74.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c9a38888-f454-4b5b-a533-eebce880a775.jpg.296x216.jpg
20190504,宝山,大场镇,南大路上2007年电梯商品房 业主诚意出售 欢迎来电咨询新上,480万,南大路180弄  | 3室1厅 | 116.7平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-619795ee-aa1d-45fd-8b2f-fd710b6b0230.jpg.296x216.jpg
20190504,宝山,大场镇,高品质小区，别墅为邻，精装带地暖次新房，未住过人！,550万,招商中环华府  | 3室2厅 | 118平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-29d1fa47-ff47-4b70-9f04-533b48333433.jpg.296x216.jpg
20190504,宝山,大场镇,单价总价低，带储物间，交通便利，配套齐全,180万,联建新村(宝山)  | 2室1厅 | 47.8平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-47764431-d590-49af-a2d9-0a70a7b2219f.jpg.296x216.jpg
20190504,宝山,大场镇,低楼层阳光好，户型正气，价格实惠，繁华位置，配套全,335万,环镇北路400弄  | 3室1厅 | 78.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6ca71e47-6775-4832-a6bd-c7aa4dfe10b2.jpg.296x216.jpg
