20190504,徐汇,上海南站,全南大一房，小区合适位置，环境良好生活便利,320万,麦克花园(公寓)  | 1室1厅 | 55.27平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f41e0e82-4ce5-497c-98bb-1fef868f0500.png.296x216.jpg
20190504,徐汇,上海南站,南北小两房客厅朝南厨房卫生间有朝北的窗户 边套户型房主自荐,495万,光华园  | 2室1厅 | 60.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-95742334-2b3a-4d69-8cba-56da5726c5c2.png.296x216.jpg
20190504,徐汇,上海南站,汇成舒适3房+边套全明户型+双南一北可做两房两厅,490万,汇成一村  | 3室1厅 | 87.2平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2235c012-1ba8-490b-9911-6b5af90bdbd5.jpg.296x216.jpg
20190504,徐汇,上海南站,光华园 东边套双南双院子  少有户型  得房率高房主自荐,480万,光华园  | 2室1厅 | 54.18平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a02622b5-a3ef-42f9-a1fe-ba3d0649aa4c.jpg.296x216.jpg
20190504,徐汇,上海南站,光华园小号楼小孩上学方便开车上班出小区门是老沪闵路房主自荐,495万,光华园  | 2室1厅 | 60.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1e3120c4-7661-4295-8deb-2dde3531b076.png.296x216.jpg
20190504,徐汇,上海南站,汇成五村 2室1厅 380万新上,380万,汇成五村  | 2室1厅 | 63.1平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-eedae277-bd5d-467a-a9a0-135518c119ed.jpg.296x216.jpg
20190504,徐汇,上海南站,一梯两户，两房朝南，一房朝北，全明户型,520万,楼园小区  | 3室1厅 | 86.94平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-408c35f0-0521-4409-a6f0-f0d976115732.jpg.296x216.jpg
20190504,徐汇,上海南站,汇成96年房龄，不带装修，可塑空间大。房主自荐,235万,汇成五村  | 1室1厅 | 40.43平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3ffeced7-d607-4ec0-b84c-ade70ad2868a.jpg.296x216.jpg
20190504,徐汇,上海南站,中间楼层，边套带装修，户型方正,625万,体育花苑  | 3室1厅 | 92.09平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b63ee255-bc25-4357-9975-daab7a491282.jpg.296x216.jpg
20190504,徐汇,上海南站,诚意出售，采光充足，通风好，简单装修，业主自住,286万,汇成一村  | 2室1厅 | 63.1平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-99274643-8049-46a5-89fa-3835a098b8c9.png.296x216.jpg
20190504,徐汇,上海南站,一房一厅+小区位置好视野开阔+采光充足诚意出售,220万,汇成三村  | 1室1厅 | 38.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c37ab828-e382-48d0-ae10-352766b59d09.jpg.296x216.jpg
20190504,徐汇,上海南站,满五年 售后公房 看房方便 诚心卖,390万,上中路100弄  | 2室0厅 | 35.21平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-62f4b2f1-64e6-47e4-b155-52775ae9c992.jpg.296x216.jpg
20190504,徐汇,上海南站,光华园 1室1厅 395万,395万,光华园  | 1室1厅 | 41.04平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7fd76587-cc3b-4a20-819f-02ee20afb92f.jpg.296x216.jpg
20190504,徐汇,上海南站,精装两房 户型方正 南北通透 业主诚心出售房主自荐,800万,海波金桂苑  | 2室1厅 | 120平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-18292b54-9f2b-4d25-b250-549a78b3c919.jpg.296x216.jpg
20190504,徐汇,上海南站,少有边套户型  楼层佳  业主诚意    看房方便房主自荐,511.8万,光华园  | 2室1厅 | 60.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-411a0818-fe2d-4766-b48b-610103ae3b58.png.296x216.jpg
