20190504,闵行,古美,靠人工湖，精雕细琢大三房带固定车位诚心出售看房方便,865万,蔚蓝城市花园  | 3室2厅 | 127.52平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a8a76833-79d8-4779-838c-a827820fcedc.png.296x216.jpg
20190504,闵行,古美,景观房 采光棒  户型正气  一梯两户 满五唯一新上,690万,新梅广场  | 3室2厅 | 146.97平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-94232786-fac3-497b-8ad8-4ae7a6886f5f.jpg.296x216.jpg
20190504,闵行,古美,新装修+交通方便轨交巴士+配套成熟满足日常需要！房主自荐,205万,新梅花苑  | 1室1厅 | 49.67平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1934b99b-f92b-446e-b9e9-e8d915b4a241.png.296x216.jpg
20190504,闵行,古美,南北两房户型，采光充足，装修好，满五年唯一房主自荐,340万,平阳三村  | 2室1厅 | 65.89平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a8c8c0b6-e682-429b-a09e-05f4cde8e3a7.jpg.296x216.jpg
20190504,闵行,古美,南北通两房，空置中，价到收款可谈，业主诚心卖！房主自荐,468万,虹莘家园  | 2室1厅 | 88.97平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-19b4057c-2183-4b84-b5d8-1a41781639a3.jpg.296x216.jpg
20190504,闵行,古美,全明双南户型 可改三房 近地铁300米 满5唯一房主自荐,330万,平阳一村  | 2室1厅 | 67.93平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-971e8257-2204-4521-a56a-6f587015e577.png.296x216.jpg
20190504,闵行,古美,电梯高区，满五年唯一，边套全明户型，诚意出售,845万,欧风花都  | 4室2厅 | 138.59平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7b844605-fe27-43d0-bc3f-9e5b5c545e2d.jpg.296x216.jpg
20190504,闵行,古美,电梯中层+双卫生间+产权车位+满五唯一+沿河景观,750万,蓝色港湾(公寓)  | 2室2厅 | 118.89平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4992396c-d4f2-452c-bae9-e6c3af7210b7.jpg.296x216.jpg
20190504,闵行,古美,老业主委托，南北户型，采光充足，诚意出售房主自荐,458万,莲花公寓(闵行)  | 2室1厅 | 87平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4cecd6fc-d97a-41e3-9caa-585b46321f6b.jpg.296x216.jpg
20190504,闵行,古美,精装小三房 满五年 诚意出售 高区视野好,770万,万源城尚郡  | 3室2厅 | 91.42平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ec547bc7-03cf-4b6f-8993-0cc9296fdfc5.jpg.296x216.jpg
20190504,闵行,古美,次新花园小区 房东只愿意在链家出售的南北 通房源房主自荐,485万,莲花公寓(闵行)  | 2室1厅 | 83.19平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a4b0b6a9-4a3e-4eb2-a480-49376263ec37.png.296x216.jpg
20190504,闵行,古美,小区唯一一套  近12线300米  无遮挡  房东诚心出售,1038万,半岛豪门(公寓)  | 4室2厅 | 171.68平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2194773d-f438-4016-9d6b-896db733a3f7.png.296x216.jpg
20190504,闵行,古美,欧风花都，简装三房，交通便利，位置安静，有钥匙！,780万,欧风花都  | 3室2厅 | 122.27平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e6d897a1-ed5e-40a1-a399-0786f3044f0c.png.296x216.jpg
20190504,闵行,古美,安静位置，有钥匙看房随时，多层四楼全明户型,755万,江南星城  | 3室2厅 | 121.96平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3d3ca13f-4e6f-43b1-aae4-1eecaa3df315.png.296x216.jpg
20190504,闵行,古美,欧风花都花园位置多层两房满五唯一采光好位置佳。,650万,欧风花都  | 3室2厅 | 101.11平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-20d345f9-2a1e-4544-a732-6514ba806e19.jpg.296x216.jpg
20190504,闵行,古美,12号地铁+九星市场+双南全明+中间楼层+看房方便+变现房主自荐,365万,平吉二村  | 2室1厅 | 72.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9a27c2fb-a17a-4c48-8260-7a6228b1992d.jpg.296x216.jpg
20190504,闵行,古美,一梯两户 厨卫朝外 户型方正 有钥匙随时看房,379万,平阳新村四街坊  | 2室2厅 | 73.94平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-39eb5c56-15c7-4ff5-9bcb-e1df77da9bd3.png.296x216.jpg
20190504,闵行,古美,漕河泾2大房，位置楼层好，近地铁,550万,华梅花苑  | 2室2厅 | 96.65平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1b9b3c98-e31e-4cfe-a839-ca27d805dc72.png.296x216.jpg
20190504,闵行,古美,顶楼复式，满五唯一，诚意出售，双阁楼,660万,江南星城  | 3室2厅 | 113.09平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4601a0eb-f775-4213-8283-4f48892d8bf6.jpg.296x216.jpg
20190504,闵行,古美,古美八村 1室1厅 260万,260万,古美八村  | 1室1厅 | 43.91平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fcabe269-3d6b-4aea-82b4-2cf2299468bf.jpg.296x216.jpg
20190504,闵行,古美,南方新村全明三房《主推钥匙笋盘》交通方便好地段,420万,南方新村  | 3室1厅 | 83.8平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7d04e588-f2d9-4337-bb3f-9344f3956524.png.296x216.jpg
