20190504,金山,廊下,景展家园 3室2厅 152万房主自荐,152万,景展家园  | 3室2厅 | 99.18平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/810708a1-129d-49be-a5ba-082c717a533b.jpg.296x216.jpg
20190504,金山,廊下,南溪一村 2室1厅 82万房主自荐,82万,南溪一村  | 2室1厅 | 54.78平米 | 南 | 简装 | 无电梯,
20190504,金山,廊下,景乐南一村 2室2厅 130万,130万,景乐南一村  | 2室2厅 | 92.44平米 | 南 | 其他 | 无电梯,
20190504,金山,廊下,景乐南一村 3室2厅 168万,168万,景乐南一村  | 3室2厅 | 121.98平米 | 南 | 其他 | 无电梯,
20190504,金山,廊下,景乐南一村 3室2厅 155万,155万,景乐南一村  | 3室2厅 | 121.98平米 | 南 | 其他 | 无电梯,
