20190504,徐汇,万体馆,高区视野大三房+房龄新+近地铁+内环内+价格可谈您懂得,860万,爱中爱华公寓  | 3室2厅 | 132.69平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-96215375-3202-42aa-b09a-de472e6f70de.png.296x216.jpg
20190504,徐汇,万体馆,银星名庭 2室1厅 525万新上,525万,银星名庭  | 2室1厅 | 71.9平米 | 东 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3a56a217-dc4d-490f-950f-d89f2aed0af7.jpg.296x216.jpg
20190504,徐汇,万体馆,精装修+中区电梯房+满五唯一税费少+看房方便,415万,金谷园  | 1室1厅 | 55.73平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c1bb3799-508d-4e29-83a4-824460ba6957.jpg.296x216.jpg
20190504,徐汇,万体馆,地铁口+中区大三房+位置安静+四周无高层住宅+没有个税,1100万,鹏欣公寓  | 3室2厅 | 167.82平米 | 东 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a7ad1dbb-c968-49f2-8bb0-0785ddccc915.png.296x216.jpg
20190504,徐汇,万体馆,业主诚意出售，随时看房，带大露台，使用面积大,650万,佳信徐汇公寓  | 2室1厅 | 93平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-56cf6abd-0eec-400b-9078-cbdb18ccd3dc.jpg.296x216.jpg
20190504,徐汇,万体馆,万体馆旁+一楼带大花园+求-+南北通+边套+一梯两户-急,892万,明佳苑  | 3室2厅 | 114.05平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-63ea62f7-ccb9-4799-88e7-413bb714b946.png.296x216.jpg
20190504,徐汇,万体馆,全明边套+1/4/11地铁+中间楼层+内环内+有钥匙价可谈新上,400万,天钥新村  | 2室0厅 | 46.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-eb717e8d-967e-4322-9777-39b533adda73.jpg.296x216.jpg
20190504,徐汇,万体馆,望族城 4室2厅 950万,950万,望族城  | 4室2厅 | 184.36平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7257042c-0532-49b6-8e1b-e72ead0986ef.jpg.296x216.jpg
20190504,徐汇,万体馆,大面积 徐家汇 万体馆   采光好  房型正,955万,鹏欣公寓  | 3室2厅 | 142.3平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-97e4923f-14b6-48bc-b522-9dd63bb77389.jpg.296x216.jpg
20190504,徐汇,万体馆,满五年+朝南户型+日月光+3/12/1号线地铁沿线,290万,漕溪四村  | 1室1厅 | 39.62平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7d916519-43bc-4a6b-b110-7584ba07304f.jpg.296x216.jpg
20190504,徐汇,万体馆,近徐汇日月光，三条地铁沿线，中高区，大两房！,760万,佳信徐汇公寓  | 2室1厅 | 106.4平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f9444fa6-988b-4935-90b9-7f2edaf4e239.jpg.296x216.jpg
20190504,徐汇,万体馆,95年竣工电梯房，南北户型，三条地铁交汇，地铁500米,540万,凯翔小区  | 2室1厅 | 70.66平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2987aacf-87ca-4d3a-9fed-d7d7568792d9.jpg.296x216.jpg
20190504,徐汇,万体馆,中间楼层 、朝南户型、 有钥匙、三号线、12号线,390万,金谷园  | 1室1厅 | 55.73平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-13dd4fdd-7d7d-41a0-9481-9b23b3b05c3d.jpg.296x216.jpg
20190504,徐汇,万体馆,满五年唯一、有钥匙、高楼层、阳光没有遮挡,800万,金浦大楼  | 3室2厅 | 130平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-97934078-75ce-4a40-9f1c-1d48d893fe0c.png.296x216.jpg
20190504,徐汇,万体馆,龙华西路309弄 2室1厅 350万,350万,龙华西路309弄  | 2室1厅 | 62.11平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-87f39b58-e7c7-4182-b80a-faf69e9c8de8.jpg.296x216.jpg
20190504,徐汇,万体馆,售后公房，三房朝南，次顶楼，看房随时，诚意出售,650万,华富小区  | 3室2厅 | 99.8平米 | 暂无数据 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6c483486-4c35-4a13-87cd-f5186aa77c1f.jpg.296x216.jpg
20190504,徐汇,万体馆,南北通透+中间楼层+售后公房+满五唯一+三轨沿线,410万,漕溪四村  | 2室1厅 | 56.23平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5614dad6-0ce8-443d-b632-39454f53d465.jpg.296x216.jpg
20190504,徐汇,万体馆,满五年+板式户型+2000年竣工+日月光+三轨沿线,880万,兆嘉园  | 3室2厅 | 116.12平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-736c6c62-d520-40f7-9c77-a08971ed6e89.jpg.296x216.jpg
20190504,徐汇,万体馆,万体馆内环内+朝南一房一厅+边套全明+房东急售！,276万,天钥新村  | 1室1厅 | 41.93平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f2ec52cf-bca3-44bc-b73d-dd914c055471.jpg.296x216.jpg
20190504,徐汇,万体馆,满五唯一，售后公房，南北户型，电梯房高区，近地铁,529.8万,凯翔小区  | 2室1厅 | 70.66平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a7c29b42-489f-4227-8bca-a614f8618700.png.296x216.jpg
20190504,徐汇,万体馆,满五年唯一，南北通电梯两房，双阳台，生活配套齐全,628万,佳信徐汇公寓  | 2室2厅 | 93.31平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6f2f3663-17f9-4b0b-a979-3ba9e0607514.jpg.296x216.jpg
20190504,徐汇,万体馆,双南两房+满五唯一+精装修+好房子+采光足,313万,龙山新村  | 2室1厅 | 47平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-503247ca-76c0-4144-8cb6-0857b9e277fd.png.296x216.jpg
20190504,徐汇,万体馆,满五二分之一唯一、96年房子、一梯两户、双南2房三楼房主自荐,450万,龙吴路9弄  | 2室1厅 | 60.3平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e185053d-9faf-496e-a522-a850d77204c5.png.296x216.jpg
20190504,徐汇,万体馆,满五税费低、南北双阳台、采光无遮挡、近地铁口,1030万,宜仕怡家  | 2室2厅 | 116.93平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-38ad0f59-3dd8-4e7b-a9e9-3060591c0f37.jpg.296x216.jpg
20190504,徐汇,万体馆,三年婚房精装修 南北通 厨卫全明 采光无遮挡 拎包入住,390万,龙吴路11弄  | 2室1厅 | 60.34平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cee4d725-7950-4670-8327-cbe85db0328e.jpg.296x216.jpg
20190504,徐汇,万体馆,南北户型+满五年+采光好+日月光+南北通风,360万,漕溪四村  | 2室1厅 | 52.01平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bf32788d-5f17-4d13-ad2f-425748984adb.png.296x216.jpg
20190504,徐汇,万体馆,边套全明+户型方正+全新装修+南北通风+房东急售房主自荐,498万,龙山新村  | 3室2厅 | 66.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ce8e21e6-673e-45be-9c22-e49cb878c93a.jpg.296x216.jpg
20190504,徐汇,万体馆,楼层好、两个房间朝南，整气户型、阳光好、诚意出售,798万,金谷园  | 2室2厅 | 108.89平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-0cb76734-406e-4a90-9a44-a363b80c95fd.png.296x216.jpg
20190504,徐汇,万体馆,龙山小区 3室1厅 520万新上,520万,龙山小区  | 3室1厅 | 78.02平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-990794f4-d425-4254-bad5-c75c6d519e2c.jpg.296x216.jpg
20190504,徐汇,万体馆,双南户型电梯房，自住精装，小区中间位置，不靠马路,490万,凯翔小区  | 2室1厅 | 66.18平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-eaf6b0e3-47a3-42a0-87f8-d76c8bc6ff0c.png.296x216.jpg
20190504,徐汇,万体馆,此房是新小区，楼栋位置佳，采光很好， 无增值税！,699万,望族城  | 2室1厅 | 93.88平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d9d26699-667e-460e-a9f7-8769a7fd6170.jpg.296x216.jpg
20190504,徐汇,万体馆,96年竣工，一梯两户，售后公房，南北两房，三轨交汇,560万,兆嘉园  | 2室1厅 | 82.91平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e6eee0d6-56f3-462d-9d19-a4f2b22abcc5.jpg.296x216.jpg
20190504,徐汇,万体馆,满五唯一+售后公房+总价低+房龄较新+交通好！！,318万,漕溪一村  | 2室1厅 | 47.12平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4bd49c89-7b10-4e40-ab75-d50ab6f3e195.jpg.296x216.jpg
20190504,徐汇,万体馆,万体馆板块、双南两房、南北双阳台、中高区视野好。,875万,美晶佳园  | 2室2厅 | 108.89平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-b0387178-d28f-41a2-b1dc-23d34012feed.png.296x216.jpg
20190504,徐汇,万体馆,大两房可改三房！南北直通厨卫明亮 婚房精装 不是底楼房主自荐,1010万,宜仕怡家  | 2室2厅 | 121.89平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ce5d4562-3eeb-4725-92b6-a135c6f5394f.png.296x216.jpg
20190504,徐汇,万体馆,售后公房+房型端正+采光好+配套完善,563万,金谷园  | 2室1厅 | 72.88平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5d0a6dcf-9a38-4f8d-8714-a76fb1492e59.jpg.296x216.jpg
20190504,徐汇,万体馆,满五年、高楼层、两梯三户、厅南北通、户型正气,1250万,宏润花园  | 3室2厅 | 132.02平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-77e03c62-92e5-473d-b934-2ea341473cc1.jpg.296x216.jpg
20190504,徐汇,万体馆,2004年花园小区，满五年唯一，南北通，南北双阳台,1350万,宏润花园  | 3室2厅 | 146.83平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d3075842-9840-43b2-abda-6db11b026c4c.jpg.296x216.jpg
20190504,徐汇,万体馆,采光极好+南北三房+通风也极好+两年精装修！,682万,凯翔小区  | 3室2厅 | 91平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-246d3715-1356-4d93-a6b8-66f4e731078f.png.296x216.jpg
20190504,徐汇,万体馆,宜仕怡家新装，南北通透大两房，视野广阔一览无余,1050万,宜仕怡家  | 2室2厅 | 116.9平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-365235a2-d0be-420b-a2ba-344fa93340dd.jpg.296x216.jpg
20190504,徐汇,万体馆,高区景观房，环境优美，满五年唯一税费少，交通便利,975万,宏润花园  | 2室2厅 | 98.53平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-89cfc76b-6f0b-49ee-9326-1d5f9a095a7f.png.296x216.jpg
20190504,徐汇,万体馆,2000年新公房+求知小区+环境优美+中间楼层+业主诚意,720万,芳草苑(徐汇)  | 2室2厅 | 91.47平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fae01f42-921a-4ce7-bb4b-12e644b5dd0b.jpg.296x216.jpg
20190504,徐汇,万体馆,满五唯一，税费少交易快，即买即可入住。,715万,芳草苑(徐汇)  | 2室2厅 | 90.38平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bf6e3a7f-6670-4226-b380-0c88b3f8383c.jpg.296x216.jpg
20190504,徐汇,万体馆,金谷园 2室1厅 460万,460万,金谷园  | 2室1厅 | 60.08平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9ce5d285-1cae-47f6-b096-4c9cc21758db.jpg.296x216.jpg
20190504,徐汇,万体馆,电梯高区小三房+南北通户型+售后公房+三条线交汇！！,580万,凯翔小区  | 3室1厅 | 74.51平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-be77eb37-bcd7-46c5-845e-a698119ce9c6.jpg.296x216.jpg
20190504,徐汇,万体馆,住友公寓 3室1厅 580万,580万,住友公寓  | 3室1厅 | 88.71平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2887382b-5b60-4354-ac3a-8d9793d07b17.jpg.296x216.jpg
20190504,徐汇,万体馆,万体馆朝南大一房+全明户型+采光好、通风性好+随时看,290万,龙山新村  | 1室0厅 | 40.56平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-33ec51e3-cca2-4091-8706-38c3e780b864.png.296x216.jpg
