20190504,杨浦,控江路,控江七村 1室1厅 215万,215万,控江七村  | 1室1厅 | 38.49平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bcf61ca6-6cc6-4f94-a973-2bb4e3422037.jpg.296x216.jpg
20190504,杨浦,控江路,原建双南两房+总价低+可拎包入住+房东诚售看房方便,258万,凤城三村  | 2室0厅 | 50.47平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f16d3579-896a-44ff-9613-b50f4b53837f.jpg.296x216.jpg
20190504,杨浦,控江路,二室一厅，全明户型，满五唯一，套内49.8平米,295万,凤城二村  | 2室1厅 | 50.01平米 | 南 西 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-af3c4cfa-6452-4b9c-a301-58bbe96793b7.jpg.296x216.jpg
20190504,杨浦,控江路,南北通格局，楼层好，有钥匙，视野宽阔，采光足。,248万,凤城三村  | 2室1厅 | 44.99平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7ef899e1-041a-4ad9-ab79-2c6fef8aa3be.png.296x216.jpg
20190504,杨浦,控江路,双南两房。小区中间位置诚意出售   理工边上,270万,延吉东路125弄  | 2室1厅 | 51.81平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-05c67e78-aa22-4a0a-9108-0744566dbe87.png.296x216.jpg
20190504,杨浦,控江路,05年次新房，双地铁口房子，出门就是紫荆广场，有钥匙,980万,新凤城  | 3室2厅 | 130.97平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-dfcdba75-9fad-4ea2-a75e-c3b446082dc3.jpg.296x216.jpg
20190504,杨浦,控江路,凤城五村东南向 精装修两房 视野好 采光棒,315万,凤城五村  | 2室1厅 | 52.58平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-93df5815-46f4-4e9f-b9d7-b669a732ede5.png.296x216.jpg
20190504,杨浦,控江路,控江二村 1室1厅 310万,310万,控江二村  | 1室1厅 | 35.31平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-602690bd-298d-4b40-a1f7-47b2cd460664.png.296x216.jpg
20190504,杨浦,控江路,两房朝南+带大花园+设计合理+提前约看房,485万,凤城六村  | 2室1厅 | 69.96平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5d367a75-da34-4721-960d-6e39e0d703dd.jpg.296x216.jpg
20190504,杨浦,控江路,不靠马路+采光无遮挡+全明户型,915万,大运盛城  | 3室2厅 | 135.3平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-998518eb-9626-448e-a74f-53605226c738.png.296x216.jpg
20190504,杨浦,控江路,内环低单价 顶楼复式  可做四房 满五唯一 有阁楼,590万,凤城三村  | 3室2厅 | 122.13平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-67bb45be-df53-4c1c-9566-4e716210fb9e.jpg.296x216.jpg
20190504,杨浦,控江路,精装 7楼2+1户型  单价低 空间大 有车位 有车位房主自荐,720万,大运盛城  | 2室2厅 | 112.61平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8fdb1900-7c8d-4cb8-a167-689c65affb77.jpg.296x216.jpg
20190504,杨浦,控江路,东边套全明+上理+总价低+使用面积大+房龄新,225万,延吉东路137弄  | 1室1厅 | 39.56平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e66baeab-5ef0-4cbc-927b-47e5db6cfac8.png.296x216.jpg
