20190504,浦东,南码头,东三里桥路7弄,暂无,0套在售二手房
20190504,浦东,南码头,东三里桥路165号,暂无,0套在售二手房
20190504,浦东,南码头,东三里桥路784号,暂无,0套在售二手房
20190504,浦东,南码头,华丰路16号,49480元/m2,1套在售二手房
20190504,浦东,南码头,东三里桥路178号,52238元/m2,0套在售二手房
20190504,浦东,南码头,泰祥楼,53779元/m2,0套在售二手房
20190504,浦东,南码头,东方路3721弄,44745元/m2,1套在售二手房
20190504,浦东,南码头,东三街30号,55678元/m2,0套在售二手房
20190504,浦东,南码头,金田公寓,60870元/m2,1套在售二手房
20190504,浦东,南码头,铭城园,66170元/m2,1套在售二手房
20190504,浦东,南码头,东方路3401弄,54637元/m2,0套在售二手房
20190504,浦东,南码头,爱嘉苑,67683元/m2,1套在售二手房
20190504,浦东,南码头,银亿滨江中心,暂无,0套在售二手房
20190504,浦东,南码头,浦三路25号,暂无,0套在售二手房
20190504,浦东,南码头,南码头路218号,暂无,0套在售二手房
20190504,浦东,南码头,东三里桥路7弄,暂无,0套在售二手房
20190504,浦东,南码头,临沂路500号,暂无,0套在售二手房
20190504,浦东,南码头,东三里桥路211号,暂无,0套在售二手房
20190504,浦东,南码头,东三里桥路782号,暂无,0套在售二手房
20190504,浦东,南码头,东三里桥路792号,暂无,0套在售二手房
20190504,浦东,南码头,高科西路631号,暂无,0套在售二手房
20190504,浦东,南码头,沂林路67号,暂无,0套在售二手房
20190504,浦东,南码头,浦三路316号,暂无,0套在售二手房
20190504,浦东,南码头,浦三路679号,暂无,0套在售二手房
20190504,浦东,南码头,南码头路36号,暂无,0套在售二手房
20190504,浦东,南码头,南码头支路68号,暂无,0套在售二手房
20190504,浦东,南码头,世博村东湖服务公寓酒店,暂无,0套在售二手房
20190504,浦东,南码头,机电职工福利院,暂无,0套在售二手房
20190504,浦东,南码头,雪野路1125号,暂无,0套在售二手房
20190504,浦东,南码头,沂林路63号,暂无,0套在售二手房
20190504,浦东,南码头,浦三路634号,暂无,0套在售二手房
20190504,浦东,南码头,东三里路395号,暂无,0套在售二手房
20190504,浦东,南码头,东方尚博创意园,暂无,0套在售二手房
20190504,浦东,南码头,东三里桥路178号,52238元/m2,0套在售二手房
20190504,浦东,南码头,华南大厦,暂无,0套在售二手房
20190504,浦东,南码头,华丰路14号,暂无,1套在售二手房
