20190504,杨浦,黄兴公园,双阳小区,28983元/m2,1套在售二手房
20190504,杨浦,黄兴公园,万昌大厦,暂无,0套在售二手房
20190504,杨浦,黄兴公园,靖宇中路8弄,57718元/m2,3套在售二手房
20190504,杨浦,黄兴公园,靖宇东路25弄,57965元/m2,1套在售二手房
20190504,杨浦,黄兴公园,延吉中路310弄,51457元/m2,2套在售二手房
20190504,杨浦,黄兴公园,梅花村,暂无,0套在售二手房
20190504,杨浦,黄兴公园,松花江路223弄,52233元/m2,4套在售二手房
20190504,杨浦,黄兴公园,松花江路123弄,57978元/m2,2套在售二手房
20190504,杨浦,黄兴公园,翔殷路627弄,60827元/m2,1套在售二手房
20190504,杨浦,黄兴公园,翔殷路769号,54846元/m2,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路175弄,53047元/m2,2套在售二手房
20190504,杨浦,黄兴公园,中能八号公馆,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路185弄,44675元/m2,6套在售二手房
20190504,杨浦,黄兴公园,佳木斯路110弄,50925元/m2,4套在售二手房
20190504,杨浦,黄兴公园,靖宇中路1弄,36919元/m2,0套在售二手房
20190504,杨浦,黄兴公园,洪东新苑,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路277号,48372元/m2,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路295号,44689元/m2,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路281号,49460元/m2,0套在售二手房
20190504,杨浦,黄兴公园,翔殷路773号,60212元/m2,1套在售二手房
20190504,杨浦,黄兴公园,黄兴路2012弄,59310元/m2,1套在售二手房
20190504,杨浦,黄兴公园,佳木斯路303号,49849元/m2,0套在售二手房
20190504,杨浦,黄兴公园,翔殷路823号,52854元/m2,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路154弄,53209元/m2,2套在售二手房
20190504,杨浦,黄兴公园,佳木斯路299号,53625元/m2,2套在售二手房
20190504,杨浦,黄兴公园,佳木斯路283号,52211元/m2,0套在售二手房
20190504,杨浦,黄兴公园,翔殷路767号,52448元/m2,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路285号,56430元/m2,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路273号,55923元/m2,0套在售二手房
20190504,杨浦,黄兴公园,翔殷路825号,46427元/m2,0套在售二手房
20190504,杨浦,黄兴公园,翔殷路827号,55463元/m2,0套在售二手房
20190504,杨浦,黄兴公园,江南华府,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路307号,52519元/m2,0套在售二手房
20190504,杨浦,黄兴公园,永吉路122弄,61899元/m2,0套在售二手房
20190504,杨浦,黄兴公园,海尚杰座,暂无,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路311号,52408元/m2,2套在售二手房
20190504,杨浦,黄兴公园,翔殷路787号,42480元/m2,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路266号,53269元/m2,0套在售二手房
20190504,杨浦,黄兴公园,佳木斯路165弄,暂无,0套在售二手房
20190504,杨浦,黄兴公园,翔殷路821号,50000元/m2,1套在售二手房
