20190504,徐汇,长桥,书香逸居 两北一南小三房 全明户型 布局合理,834万,中楼层(共9层)                                                    | 2007年建 |                                 3室1厅 | 98.26平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-b902de0f-0c86-4053-a90f-db6497ed2c37.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,房东急售，带产权车位，价格可谈，一次性付款更优惠,780万,低楼层(共11层)                                                    | 2005年建 |                                 3室2厅 | 121.05平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/6832f115-0bc7-476a-9374-1825de98e96d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,两房朝南，厅朝南，采光好，小区安静舒适,647万,中楼层(共23层)                                                    | 2007年建 |                                 2室2厅 | 80.88平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-e857a34f-8767-4980-8f1c-fed3ee639020.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,精装一房改两房，中等楼层，视野采光好，诚心出售,389万,中楼层(共6层)                                                    | 1990年建 |                                 2室1厅 | 42.79平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-68b8d12c-4a60-436c-84d1-5b84cd0afa34.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,徐汇新城+底层+精装修＋得房率高+品质小区＋看房方便,750万,低楼层(共12层)                                                    | 2008年建 |                                 4室1厅 | 122.76平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-cc9a8c4b-c514-4e88-9325-f7f18b213c4a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,婚房装修 南北通风 设计空间大,190万,高楼层(共6层)                                                    | 1989年建 |                                 1室1厅 | 41.14平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-c38bc808-5800-40e8-856b-af03c4b37757.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,朝南一房 采光好 位置安静 总价低 钥匙房看房方便,155万,高楼层(共5层)                                                    | 1984年建 |                                 1室0厅 | 32.28平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-efa18714-ee5f-4519-b809-72117f29dadc.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥一村精装修，大一房价格买两房，主推房源,408万,中楼层(共17层)                                                    | 1994年建 |                                 2室1厅 | 67.96平米                                  | 东 西 北,https://ke-image.ljcdn.com/310000-inspection/test-f33aad70-6abb-492c-ae6d-d9ff948e7bde.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥八村 2室1厅 南,375万,高楼层(共25层)                                                    | 1999年建 |                                 2室1厅 | 73.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/bc622920-453a-4703-9b25-6e1acaddaad4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,三房带厅，格局未变动，房型正气，房东诚意出售,550万,中楼层(共5层)                                                    | 1978年建 |                                 3室1厅 | 77.3平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20160815/223c236f-28dd-4acb-b714-fbb345cdf190.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
