20190504,松江,小昆山,首套35%，二套普房50%,可贷款可过户,210万,中楼层(共11层)                                                    | 2015年建 |                                 2室2厅 | 98.81平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-8e6f7274-3e80-4da2-9578-a93c601dfa4b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,小昆山,路劲佘山院子 3室2厅 东 西,335万,中楼层(共16层)                                                3室2厅 | 89平米                                  | 东 西,https://ke-image.ljcdn.com/310000-inspection/prod-47135c1c-eb56-42ae-ac67-56fe1e2556a8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,小昆山,路劲佘山院子 2室2厅 南,400万,低楼层(共16层)                                                2室2厅 | 89平米                                  | 南,https://ke-image.ljcdn.com/310000-frame/rsp_pic_upload2f8c11d1-d6e7-4ace-8ac5-4f2896f30e59.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,小昆山,精装修一手房 税费各付 楼层佳 拎包即住,355万,高楼层(共16层)                                                3室2厅 | 89平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3cfa9a63-a85f-4bb2-a3e4-9fa8f83ce8ed.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
