20190504,嘉定,丰庄,房东诚心出售，采光好，天井已弄好，满五唯一,280万,低楼层(共6层)                                                    | 1999年建 |                                 2室1厅 | 53.01平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a138b7a3-123f-44de-a0f0-e7ce7c964f3d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,满五唯一，户型正气，采光充足，婚房装修全明户型。,358万,高楼层(共7层)                                                    | 1998年建 |                                 2室2厅 | 89.5平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/145bb1be-bf79-488f-9cac-6c15750d4aad.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,地铁13号线+楼层佳+户型正气+采光充足+税费少,470万,中楼层(共6层)                                                    | 2001年建 |                                 2室2厅 | 89.69平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_uploadfdc9f6eb-8606-4bdd-a288-07815ec4be1f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,满五唯一 采光充足 交通配套齐全 两房朝南 适合居家,225万,高楼层(共6层)                                                    | 1997年建 |                                 2室1厅 | 63.94平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-1652bf32-1e8b-4090-96be-cb14763778be.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,近地铁，出行方便，精装修，房型正气，配套齐全,320万,高楼层(共6层)                                                    | 1998年建 |                                 2室1厅 | 81.3平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e00f4307-5389-4b02-8a9e-75b40b75f0b1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,满五年唯一 税费少 小三房 中层采光好 看房有钥匙,430万,中楼层(共5层)                                                    | 1997年建 |                                 3室2厅 | 86.43平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-8bb1930b-d72b-4b86-872d-b80174835f67.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,房型方正，全南户型，满五年，交通便捷 房东诚意出售,230万,高楼层(共7层)                                                    | 1996年建 |                                 2室1厅 | 60.96平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-17d3a55e-543f-441f-8162-bfcab30cc158.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,单价低，全明户型，满五年唯一，小区位置好，诚心出售,218万,高楼层(共6层)                                                    | 1996年建 |                                 2室1厅 | 59.96平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-b3869ea5-49d0-40c0-a7fe-3f108ea36bcc.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,近地铁 带产权车位 随时看房 南北通 景观楼层,726万,高楼层(共14层)                                                    | 2008年建 |                                 3室2厅 | 136.38平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-47cae319-2a96-4e4a-803f-7d115012c158.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,单价低 小区环境好 交通方便 采光好 房型正气,530万,高楼层(共6层)                                                    | 1998年建 |                                 3室2厅 | 119.09平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-027a0289-133c-4e4c-80b8-94df0f03e544.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,小区位置好 多层二楼 采光无遮挡 近地铁 满五唯一,540万,低楼层(共6层)                                                    | 2001年建 |                                 2室2厅 | 94.24平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-b5cfe9ea-a111-4a2c-a558-1bab64d78341.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,顶楼复式房+满五唯一+看房方便+价格可谈+近地铁,445万,高楼层(共7层)                                                    | 1998年建 |                                 4室1厅 | 109.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/94014e69-bcc0-485c-93ee-bd6688c0f14e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,丰庄二村 2室1厅 南,185万,中楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 49平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-df80ad9d-11cc-45e8-b6d2-9c2881eb45f5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,该房小区中间位置，一房朝南一房朝北，居家装修,256万,中楼层(共6层)                                                    | 1996年建 |                                 2室1厅 | 62.94平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b92c97ac-2b7a-477d-a145-f7ba72add848.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,此房满五唯一，一楼带天井，诚意出售,255万,低楼层(共6层)                                                    | 1996年建 |                                 2室1厅 | 56.14平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4a6d555b-0bff-4fee-b701-09b40ca5a452.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,此房满两年，南北通透格局好 ,两室 朝南，厅朝北,290万,高楼层(共7层)                                                    | 1998年建 |                                 2室1厅 | 64平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-e9ae22db-67ba-4208-b30e-63e03c7b7098.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,真实在售+看房方便+一楼带天井+业主急售！,182万,低楼层(共6层)                                                    | 1995年建 |                                 1室1厅 | 45.66平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-b9cfeb17-7a8a-4817-853d-db72c9e5a517.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,复式房，满五唯一，采光充足，视野开阔,620万,高楼层(共6层)                                                    | 2001年建 |                                 5室3厅 | 162.46平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/7c3281ea-3ac8-4c9d-ac25-1db74de832b4.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,满五唯一+双南户型 +全明房型正气+配套齐全+出行方便,260万,中楼层(共7层)                                                    | 1996年建 |                                 2室1厅 | 60.96平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/39047a1f-a5d2-4088-8c90-1ced48f87578.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,丰庄十二街坊 1室1厅 南,180万,高楼层(共6层)                                                    | 1996年建 |                                 1室1厅 | 48.77平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-78a8bcfe-b7b1-432f-9cf6-21f78dd0c1b4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,一梯两户，采光好，小区中间位置，业主急售，急售,340万,高楼层(共6层)                                                    | 1997年建 |                                 3室1厅 | 98.9平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-e3b00a3f-9775-466a-bb5a-dd092f295ef2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,满五年唯一 交通便利 配套成熟 朝阳好房 带双天井,350万,低楼层(共6层)                                                    | 1998年建 |                                 2室2厅 | 74.6平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_upload22631291-1be3-49fe-9038-d79007e3afca.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,金丰新村 1室2厅 南 北,240万,高楼层(共6层)                                                    | 1995年建 |                                 1室2厅 | 56.7平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-2da12172-af86-4d49-8a72-be8c0cf88fea.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,满五年唯一税少，精装修拎包入住，业主置换诚心出售,510万,低楼层(共12层)                                                    | 2006年建 |                                 2室2厅 | 102.93平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-e379af41-d458-425d-a79e-466a73e753c4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,一楼带天井，小区位置好，业主诚意出售,335万,低楼层(共6层)                                                    | 1995年建 |                                 3室1厅 | 74.67平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-b7783539-f92e-4504-a7d2-8adc1fa28c9f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,单价低 总价低 非顶楼 诚心出售 随时看房 精装全配,170万,高楼层(共6层)                                                    | 1995年建 |                                 1室1厅 | 48.66平米                                  | 东 西,https://ke-image.ljcdn.com/310000-inspection/prod-480fd8a2-b964-45cb-8217-3bf94214d987.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,地铁口，1楼带天井，只有买房契税,210万,低楼层(共6层)                                                    | 1998年建 |                                 1室1厅 | 41.9平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-c36fce1f-445e-4368-8594-27328cdaef56.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,产权清晰，采光无遮挡，近地铁，有钥匙看房 业主信赖,600万,高楼层(共13层)                                                    | 2008年建 |                                 2室2厅 | 104.67平米                                  | 南 北,https://ke-image.ljcdn.com/shfdfs-image/20171203/ff1af82d-3c56-4b38-afef-1320b9fafe52.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,嘉利坊小户型+采光好 +税费少 +楼层好+配套齐全急售,156万,高楼层(共6层)                                                    | 1996年建 |                                 1室1厅 | 33.75平米                                  | 东,https://ke-image.ljcdn.com/310000-inspection/test-0e41bc9b-b9de-4687-8e11-34c538b0a3ea.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,南北两房，厅宽敞，价格不设限，适合刚需客户,285万,高楼层(共6层)                                                    | 1999年建 |                                 2室2厅 | 71.68平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20160528/dfc8816f-c339-46f9-ad48-bb8d8980e98d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,一梯两户 全南大两房 楼层好 采光无遮挡 房东诚心出售,300万,高楼层(共6层)                                                    | 1994年建 |                                 2室2厅 | 75.74平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-7486ab1c-fef5-485e-9d46-d083982a8535.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,税费少，采光好，交通方便，近地铁13号线,305万,高楼层(共6层)                                                    | 1993年建 |                                 2室1厅 | 73.66平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-84266bf0-f0bb-4ee1-a6c4-ac1cbf565bec.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,嘉秀新苑，复式电梯房！有20平米的大露台，,605万,高楼层(共12层)                                                    | 2005年建 |                                 3室2厅 | 119.6平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20171212/056fa1a3-b46a-4b66-b679-4c4e340b9e35.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,小区中间位置，采光充足，业主诚意出售,243万,高楼层(共7层)                                                    | 1997年建 |                                 2室1厅 | 63.78平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-89833f50-65e1-4de7-80cd-8caab4c9c764.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,汇丰佳苑 4室3厅 南,610万,高楼层(共6层)                                                    | 2004年建 |                                 4室3厅 | 141平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170903/b2aec56d-1faa-453c-b5f6-add6b25ba12e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,南北通透，房型正，楼层佳，采光优，近地铁,455万,高楼层(共6层)                                                    | 2001年建 |                                 2室2厅 | 90.25平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/ccd8ddb7-75f4-43fc-878e-4fbc5f0dc841.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,砖石楼层，有钥匙随时看，满五唯一税少，价格可谈！,215万,中楼层(共6层)                                                    | 1996年建 |                                 2室1厅 | 63.2平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-45fb629c-1e32-49f9-94d1-55d0d915cfb9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,步行13号线丰庄站300米,婚房装修30万，带大金空调,585万,低楼层(共12层)                                                    | 2009年建 |                                 3室2厅 | 109.82平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-5cab8548-548c-457a-a64b-2f3a9e2c2911.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,嘉定,丰庄,次新小区+近地铁+满五唯一+房东急售+精装修+南北通,532万,中楼层(共12层)                                                    | 2006年建 |                                 2室2厅 | 102.93平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-93d10e8c-ed5b-43fd-a318-232dc37db8ba.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
