20190504,黄浦,世博滨江,分门独用，产权房，总价低 看房方便 朝南阳光好,195万,低楼层(共6层)                                                    | 1964年建 |                                 1室1厅 | 31.5平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/acd78ea2-4a2c-4cfd-9b32-1b112ea0b008.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,高区江景，南北通风，边套全明，满五唯一,1200万,中楼层(共26层)                                                    | 2002年建 |                                 3室2厅 | 135.71平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-60701612-dde1-473e-88b6-926850182339.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,融创新出三房，正看小区绿化，看房方便，诚意出售,1750万,低楼层(共36层)                                                    | 2012年建 |                                 3室2厅 | 189.45平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/641f60bb-902b-4cf6-85ab-ea28b5d57c0e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,急售，江景房，满2年税少，南北通，近公园，居住舒适,710万,高楼层(共6层)                                                    | 1998年建 |                                 2室2厅 | 91.49平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-82234d08-19fa-4517-b559-d741e427d526.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,全明户型+婚房装修+诚意置换+价格可谈+烫金地段,280万,高楼层(共7层)                                                    | 1986年建 |                                 1室1厅 | 37.19平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2c88bd40-a1c8-40b3-9ed5-6c2786aa41dd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,2017年新房，江景房一梯一户，南北通。,3350万,高楼层(共29层)                                                4室2厅 | 223平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a24e1863-7b70-4562-80fd-54a6458acb05.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,融创前排明星楼栋、四开间朝南、采光无遮挡、随时看房,2700万,低楼层(共28层)                                                    | 2012年建 |                                 4室2厅 | 262.38平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20171228/4a33eb57-53eb-447c-b745-a980168ea85d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,含车位精装修的全南两房，带弧形大阳台。采光无遮挡。,1260万,中楼层(共30层)                                                    | 2006年建 |                                 2室2厅 | 105.96平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0cb92733-c01b-4161-a0e3-8ca0c2ca73f7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,融创顶楼复式，100平米露台，看房有钥匙，随时可看,5300万,高楼层(共24层)                                                    | 2012年建 |                                 5室3厅 | 422.37平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/prod-1e0e9277-6d93-434c-8544-7efad0715469.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,黄浦,世博滨江,世博滨江，高区江景好，从未入住,有会所，绿地品质,2366万,高楼层(共17层)                                                3室2厅 | 139.19平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-26ac111b-1c3b-4325-8d76-543c6ada7f8e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
