20190504,徐汇,康健,用心选房，长青坊一房一大厅，边套全明，诚意出售。,305万,中楼层(共6层)                                                    | 1993年建 |                                 1室1厅 | 42.18平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-6912ac16-bdd8-475a-a465-fa58cac97b9f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,精装一房一厅，小区花园位置，满五年唯一，诚意出售,289万,中楼层(共6层)                                                    | 1993年建 |                                 1室1厅 | 46.13平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-45efb61a-8b28-4a2d-95d2-a851443d8b8b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,康外南北两房，售后公房税少，房东诚意出售，看房方便,385万,高楼层(共6层)                                                    | 1990年建 |                                 2室1厅 | 57.71平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-92dbb014-37f8-4c91-a948-316dd3945a74.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,寿益坊；高区电梯南北大两房，精装修可拎包入住,525万,高楼层(共24层)                                                    | 1997年建 |                                 2室1厅 | 85.74平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-5586c522-f38a-4143-a397-0219df3287ad.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,一梯两户南北直通 业主自住精装拎包入住 带花园新上,360万,低楼层(共6层)                                                    | 1993年建 |                                 2室1厅 | 55.57平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-59fc5abf-85d9-4c8e-a09c-98d5480aa70c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,顶楼复式带100平米露台高区景观  附带大面积,1650万,高楼层(共20层)                                                    | 2001年建 |                                 5室3厅 | 249.18平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/737b45f4-ae13-42f9-8d91-e348cc4b8a89.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,店长推荐：2005年，双南电梯两房，没有增值税和个税,470万,中楼层(共30层)                                                    | 2005年建 |                                 2室1厅 | 75.76平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-14ea2c7c-67d8-41b5-9165-23bc39ff9de8.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,康强惊现中间楼层！满五年唯一售后公房，精装修两房,329万,中楼层(共4层)                                                    | 1993年建 |                                 2室1厅 | 54.13平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b5d0bade-2a1c-48e6-aa1b-0bae082ef63b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,独栋价格空间大 满五年唯一 中间位置,330万,中楼层(共6层)                                                    | 1993年建 |                                 2室1厅 | 60.45平米                                  | 东南 东北,https://ke-image.ljcdn.com/310000-inspection/test-cd35b1b1-09b6-464d-86c4-2fbf57deece4.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,花园位置，南北通，满五唯一，售后公房，出门家乐福,338万,低楼层(共6层)                                                    | 1991年建 |                                 2室1厅 | 57平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-9200eb71-8e87-4001-aff9-87cbe5a03099.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,花园位置，中间楼层，两房朝南。厨卫全明,360万,中楼层(共6层)                                                    | 1993年建 |                                 2室1厅 | 58.42平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-cc7ebd7b-729d-4188-8949-2069ce368d72.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,90年代少数电梯景观房，精装三房，采光充足无遮挡,598万,中楼层(共19层)                                                    | 1995年建 |                                 3室2厅 | 107.31平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/prod-ed17a98c-0814-4bf3-9a55-e08eed640a14.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,健安坊复式两房，楼号适中采光好，位置安静不临街。,358万,高楼层(共4层)                                                    | 1991年建 |                                 2室1厅 | 58.9平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20180112/e0de3a8e-2766-4f83-a337-cc9521cba3ac.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,中海馨园三房  错层带大花园  满五唯一 诚意出售,1150万,低楼层(共18层)                                                    | 2001年建 |                                 3室2厅 | 141.9平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-228483f4-e964-4f2e-a4e3-8d2b116e11cc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,紫荆园两房挂牌，楼层好，住家装修，采光好！,695万,中楼层(共6层)                                                    | 1999年建 |                                 2室2厅 | 94.21平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b9fbfed6-f890-48fd-bb2f-c9366585a3d4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,康乐小区 南北两居室 小区环境优美温馨舒适宜安家,340万,低楼层(共6层)                                                    | 1992年建 |                                 2室1厅 | 55.09平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d9fb822d-b91f-4d4a-89ac-d06b5af9b5dd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,寿昌坊两房，动迁房，房东诚意出售,285万,高楼层(共6层)                                                    | 1986年建 |                                 2室1厅 | 57.68平米                                  | 南 北,https://ke-image.ljcdn.com/hdic-frame/58090154-25cf-4736-b050-16c6c81259c7.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,一梯一户 双南户型 婚房装修 采光无遮挡 边套,430万,高楼层(共7层)                                                    | 1992年建 |                                 2室1厅 | 60.01平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-989b4553-2127-4bee-83f0-a1be1985eddc.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,大面积5房，附带面积多，楼上楼下带露台，有车位！,1880万,高楼层(共12层)                                                    | 2001年建 |                                 5室2厅 | 214.04平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/70334db8-26bc-4ac2-bf20-963e06d09df5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,已改成两房 17年精装自住 眼缘好 诚心出售,320万,高楼层(共6层)                                                    | 1990年建 |                                 1室1厅 | 43.11平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-7b0a3569-4e79-4b0c-aa96-bfe72a5c39a9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
