20190504,宝山,高境,殷高小区 2室1厅 南,265万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 62.54平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8756dfb1-bfef-45eb-86f1-efb2c8167bc6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,总价低三房 看房方便 价格好谈 高档小区 首付340万,450万,低楼层(共13层)                                                    | 2013年建 |                                 3室2厅 | 83.97平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2111d662-8144-4935-a5f6-e9d0e17dd84b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,边套全明户型，中间楼层，安静位置，业主诚意出售.,268万,中楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 58.6平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b86fe83e-683c-4c64-8083-32ab5386236c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,中间楼层，小区安静位置，生活配套成熟，出行方便,220万,中楼层(共7层)                                                    | 1994年建 |                                 1室1厅 | 43.67平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-5aad5988-fb87-43a1-a8db-fc7c718a9733.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,产权清晰，精装修南北两房，款清可交房,275万,高楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 64.45平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3fb576c9-05e1-4c15-843e-b3257c28e236.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,电梯房 精装修 1梯2户 小区中间位子 楼层好,438万,高楼层(共14层)                                                    | 2009年建 |                                 2室1厅 | 82.49平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-8482e73c-c7f9-45dd-af40-07527bdf0ff1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,高区景观房，电梯直达，正对小区花园位置，满五年少税,499万,高楼层(共11层)                                                    | 2005年建 |                                 2室2厅 | 96.03平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-51c43797-e3f0-44c7-a1e6-3d9d5471119b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,近地铁、随时看房、双南户型、采光充足、视野开阔,239万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 57.24平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e24ef039-478c-4630-a979-b7e05cf5bff4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,一手动迁 免增值税 毛坯装修 一梯两户 业主诚意出售,430万,中楼层(共14层)                                                    | 2009年建 |                                 2室2厅 | 82.43平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/25da0d10-75f2-4785-81b4-f632d3fc3a5d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,宝山,高境,此房免除税费23万，一梯两户,小区中 心，采光无遮挡！,412万,低楼层(共14层)                                                    | 2009年建 |                                 2室1厅 | 81.96平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-f003dd41-d6d1-4bff-ba54-7cc460b751f4.png!m_fill,w_280,h_210,f_jpg?from=ke.com
