20190504,松江,松江大学城,西子湾+稀奇户型+可改3房+景观楼层+落地大飘窗,348万,高楼层(共11层)                                                    | 2008年建 |                                 2室2厅 | 90.54平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e9e26459-b6b3-44f2-b836-357a2454276c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,龙湖好望山(别墅) 4室2厅 南,1150万,低楼层(共3层)                                                    | 2012年建 |                                 4室2厅 | 215平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20160130/9aa74027-1bff-4916-89d7-04a9fe1630e4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,纯别墅区 空调地暖 150万的硬装 带车位 实用面积大,750万,高楼层(共5层)                                                    | 2014年建 |                                 4室3厅 | 200平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/651f9e99-4e10-4500-aaa1-eafd6dc468c6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,文翔名苑(公寓) 3室2厅 南 北,315万,低楼层(共6层)                                                    | 2006年建 |                                 3室2厅 | 98.89平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-5716ec34-9360-484b-a7ce-8595b5b68f23.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,松云水苑  复式挑空 三房两厅两卫 诚意出售,480万,高楼层(共6层)                                                    | 2005年建 |                                 3室2厅 | 183平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/05f4fcdd-9106-4411-8ce4-aeb889752c1e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,满二税少，飞机户型，附装修，楼层位置好，价格可谈,450万,中楼层(共6层)                                                    | 2006年建 |                                 3室2厅 | 121.58平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-6ffc132d-12fd-48cd-bfad-d4a957117792.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,二期次新房，视眼开阔靠河景观，年前新装带地暖,530万,低楼层(共14层)                                                    | 2015年建 |                                 3室2厅 | 130平米                                  | 南 北,https://ke-image.ljcdn.com/hdic-frame/b260b75a-ef75-4d24-83ae-c93ed233b63a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,绿地蔷薇新上架单价3.4万复式房，各付税，随时看房,468万,高楼层(共12层)                                                    | 2012年建 |                                 4室2厅 | 135.19平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170930/3ffe808c-1477-413b-99d0-379638cfa315.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,总价低+正气小2房+自住精装修+满2年+业主置换诚意出售,220万,高楼层(共6层)                                                    | 2011年建 |                                 2室1厅 | 63.14平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-ee7819dc-dafc-4a64-9285-0c3972ae0a24.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,装修13万从未住过，楼层好，看房有钥匙，EBD有轨电车,425万,中楼层(共17层)                                                    | 2009年建 |                                 2室2厅 | 99.63平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-5b018607-9417-4fff-a43c-b8be418da3c3.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,松江万达商圈+全明正气大2房+满5年+位置好+业主急售房,249万,低楼层(共11层)                                                    | 2013年建 |                                 2室1厅 | 84平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-4d8a1123-ff84-4a64-b6e9-0a20caddeb15.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,保利西子湾 1室1厅 西南,205万,高楼层(共11层)                                                    | 2009年建 |                                 1室1厅 | 62.25平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/prod-5932f93a-9fa2-4201-b45e-281e1304a019.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,刚挂牌！大三房，房东诚意出售，置换，买进330万税少,510万,低楼层(共14层)                                                    | 2006年建 |                                 3室2厅 | 124平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/00f4ad60-9834-4593-80be-a6e1a69c21cb.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,满五年带产权车位，位置好，小区进出口，看房方便。,525万,低楼层(共18层)                                                    | 2009年建 |                                 3室2厅 | 132.08平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/3a5d70c4-e15f-479c-8c75-9cf838639c58.png!m_fill,w_280,h_210,f_jpg?from=ke.com
