20190504,松江,泗泾,同润菲诗艾伦 2室1厅 南,152万,低楼层(共16层)                                                    | 2010年建 |                                 2室1厅 | 55.19平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d321d786-7274-40e5-b1a1-1f2dd42f2ea3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,小区C位 双南户型 满五唯一税少 有固定地下车位,319万,低楼层(共15层)                                                    | 2013年建 |                                 2室2厅 | 91.47平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-457ad50f-9a7f-48fb-b2d8-9ebb62e3a89b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新凯家园二期 电梯房 配套设施齐 交通便利,166万,高楼层(共11层)                                                    | 2009年建 |                                 1室2厅 | 53.32平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-805303e1-970e-4881-9ea5-871e6c2461a1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,米兰诺贵都 3室2厅 南,323万,低楼层(共19层)                                                3室2厅 | 89.33平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f08cccb5-0364-44e2-85a1-8611b83dbb74.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,业主诚售毛坯三房 户型方正 交通便利 价格实惠 税费少,213万,中楼层(共28层)                                                    | 2014年建 |                                 3室1厅 | 84平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-b5e3c662-5881-406b-8c70-05cee09cd386.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,【必看好房】诚意出售，随时签字 一手动迁满五年,160万,低楼层(共15层)                                                    | 2012年建 |                                 1室1厅 | 52.74平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-fbc21181-f4f7-41df-bfa5-6700928e9b6a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,主力户型+精装修+楼层佳+采光好+诚意出售+价格可谈,305万,高楼层(共18层)                                                    | 2011年建 |                                 2室2厅 | 89.26平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-3d7da90d-1878-4231-8ec1-f255f26ef4c7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新小区 环境好 有钥匙 看房方便 业主随时签字,167万,低楼层(共18层)                                                    | 2015年建 |                                 2室1厅 | 66.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e179062d-1096-4c8a-b6f6-48a50b722bda.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,德悦苑经典户型两房；楼层位置好；前后无遮挡；,185万,高楼层(共18层)                                                    | 2015年建 |                                 2室1厅 | 66.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f9d98701-b6d3-4250-8daa-6524e07f9ee9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,塘和家园四期 中间套 楼层好 采光佳 小区中间位置,210万,中楼层(共18层)                                                    | 2013年建 |                                 2室1厅 | 71平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-6808b89e-be4b-48f0-8e4d-f12eb34109bc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,松江紫薇茗庭两室一厅一厨一卫 没有装修,177万,低楼层(共28层)                                                    | 2014年建 |                                 2室1厅 | 67.11平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-acf27ab4-3c90-4fed-818d-57f0354a094c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,一手动迁  免增值税  户型方正   高层采光好  视野好,225万,中楼层(共18层)                                                    | 2014年建 |                                 3室2厅 | 84.34平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a86691ac-e48d-491e-b9f9-37d2335b6028.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,满五唯一，随时看房，装修好，采光好。好房！,290万,低楼层(共11层)                                                    | 2010年建 |                                 3室2厅 | 88.35平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-009918bb-e270-44f5-be97-3abd92484e27.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,女主人精心设计，急售，5房朝南，花园临河，拎包入住,1850万,低楼层(共2层)                                                5室3厅 | 444.85平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/1648dadf-2c95-4304-8c1b-f32b657f0f49.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,同润菲诗艾伦 2室1厅 南,152万,低楼层(共16层)                                                    | 2010年建 |                                 2室1厅 | 55.19平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d321d786-7274-40e5-b1a1-1f2dd42f2ea3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,小区C位 双南户型 满五唯一税少 有固定地下车位,319万,低楼层(共15层)                                                    | 2013年建 |                                 2室2厅 | 91.47平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-457ad50f-9a7f-48fb-b2d8-9ebb62e3a89b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新凯家园二期 电梯房 配套设施齐 交通便利,166万,高楼层(共11层)                                                    | 2009年建 |                                 1室2厅 | 53.32平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-805303e1-970e-4881-9ea5-871e6c2461a1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,米兰诺贵都 3室2厅 南,323万,低楼层(共19层)                                                3室2厅 | 89.33平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f08cccb5-0364-44e2-85a1-8611b83dbb74.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,业主诚售毛坯三房 户型方正 交通便利 价格实惠 税费少,213万,中楼层(共28层)                                                    | 2014年建 |                                 3室1厅 | 84平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-b5e3c662-5881-406b-8c70-05cee09cd386.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,【必看好房】诚意出售，随时签字 一手动迁满五年,160万,低楼层(共15层)                                                    | 2012年建 |                                 1室1厅 | 52.74平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-fbc21181-f4f7-41df-bfa5-6700928e9b6a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新小区 环境好 有钥匙 看房方便 业主随时签字,167万,低楼层(共18层)                                                    | 2015年建 |                                 2室1厅 | 66.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e179062d-1096-4c8a-b6f6-48a50b722bda.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
