20190504,普陀,真如,星河世纪城 2室2厅 南 北,630万,高楼层(共20层)                                                    | 2008年建 |                                 2室2厅 | 97平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-75f1d6c9-5886-479c-b67a-8c436511f8bc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,4.9万单价！！！11.14.15号线地铁 双南两房 一梯两户,365万,高楼层(共7层)                                                    | 1998年建 |                                 2室1厅 | 73.53平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-525dac3f-a7f7-432a-8f59-7757d11fbee0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,南北通透好户型，位置好，楼层好，接受置换，地铁,590万,低楼层(共6层)                                                    | 2009年建 |                                 2室2厅 | 93平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/06441a6b-f4c4-43bc-a741-e8fb7d6d917e.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,品质小区，人车分流，单价低，总价低，全南户型,750万,低楼层(共36层)                                                    | 2009年建 |                                 2室2厅 | 102.07平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-05365b01-9c67-4f72-b42c-4e136df67619.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,低总价两房，满五唯一无个税，产权清晰，诚意出售！,335万,高楼层(共7层)                                                    | 1999年建 |                                 2室1厅 | 56.66平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b62f5ccd-670a-4a7f-8382-3d626bfd1de3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,水塘小区 2室1厅 南,290万,低楼层(共6层)                                                    | 1989年建 |                                 2室1厅 | 56.41平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4ffce934-a9c7-4a3c-8f2d-55385d1692f4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,近11号线真如站，，品质小区房型正气,670万,低楼层(共11层)                                                    | 2002年建 |                                 2室2厅 | 90.67平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170604/263d035e-d01b-46ed-8174-5c36972c60b1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,宁泉新苑 2室2厅 南,510万,高楼层(共6层)                                                    | 1998年建 |                                 2室2厅 | 85.29平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4d48f643-b044-48ae-9a11-a357cf234610.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,地铁800米路程南北两房楼层好税费少,355万,中楼层(共6层)                                                    | 2000年建 |                                 2室1厅 | 68.67平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-da4e1e5a-660f-4360-9499-f4799f620231.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,满五唯一，二年前婚房装修，阳光好，诚意出售！！！,510万,中楼层(共6层)                                                    | 1999年建 |                                 2室2厅 | 78.95平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e50955aa-657c-443d-8cdd-44481561f827.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,楼层好。采光充足，单价便宜，钥匙房,395万,中楼层(共18层)                                                    | 1996年建 |                                 3室2厅 | 84.87平米                                  | 东,https://ke-image.ljcdn.com/310000-inspection/test-4a790c6f-7687-4eff-837a-2f59346d8fa2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
