20190504,杨浦,控江路,原建双南两房+总价低+可拎包入住+房东诚售看房方便,258万,高楼层(共6层)                                                    | 1986年建 |                                 2室0厅 | 50.47平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f16d3579-896a-44ff-9613-b50f4b53837f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,控江路18弄精装电梯两房，满五税费少，对口理工。,410万,低楼层(共20层)                                                    | 1999年建 |                                 2室1厅 | 77平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-074f5d33-c556-4dc5-b326-74d6c3ac9617.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,两房朝南+带大花园+设计合理+提前约看房,485万,低楼层(共6层)                                                    | 1996年建 |                                 2室1厅 | 69.96平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-5d367a75-da34-4721-960d-6e39e0d703dd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,2011年小区 无增值税 毛坯小三房,700万,低楼层(共18层)                                                    | 2010年建 |                                 3室1厅 | 108.83平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-92450af7-11c1-4626-be0f-da2d9bd2954a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,内环低单价 顶楼复式  可做四房 满五唯一 有阁楼,590万,高楼层(共5层)                                                    | 1991年建 |                                 3室2厅 | 122.13平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-67bb45be-df53-4c1c-9566-4e716210fb9e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,精装修三房，诚意出售，看房方便 售后公房无增值税,538万,中楼层(共5层)                                                    | 1999年建 |                                 3室2厅 | 93.17平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ec94b5c1-fe26-4f60-ac5d-a65ad95ad499.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,双阳大楼 2室1厅 东南,388万,中楼层(共18层)                                                    | 1993年建 |                                 2室1厅 | 73.28平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/prod-d833426f-40df-4e42-8891-cb496ea55b08.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,控江七村 1室1厅 南,170万,高楼层(共5层)                                                    | 1983年建 |                                 1室1厅 | 32.92平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20160717/27d40c52-a590-407d-b152-c3ff97bc3d18.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,总价低精装修拎包入住 产权清晰 近8号地铁站税费低,135万,高楼层(共5层)                                                    | 1966年建 |                                 1室0厅 | 26.35平米                                  | 东 北,https://ke-image.ljcdn.com/310000-inspection/prod-dda608be-fd11-4c79-aa5f-da463698ed3b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,杨浦,控江路,内环+诚意出售+大两房+精装修+满五唯一+可改三房,372万,低楼层(共5层)                                                    | 1961年建 |                                 2室1厅 | 72.24平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-6285cd99-1409-4bf7-9c7f-3fac885a210a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
