20190504,虹口,凉城,广灵路，总价低，精装修伐看伐晓得好!非顶楼中间位置,145万,中楼层(共5层)                                                    | 1958年建 |                                 1室1厅 | 32.16平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/c763fe7b-8e18-4149-b579-75cd59f29f43.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,大柏树地铁口 精装南北通 多19平方 满五年唯一,280万,低楼层(共5层)                                                    | 1981年建 |                                 2室1厅 | 50.67平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-974f08f2-8777-49ef-8880-f9885a04b43e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,高区南北两房，总价低，一梯两户，小区停车方便,245万,高楼层(共6层)                                                    | 1991年建 |                                 2室1厅 | 51.95平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-846f88db-7fd7-4b7f-a5c5-d6811757b486.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,罕见朝南一门关，带天井，总价低，近地铁，采光好,168万,低楼层(共5层)                                                    | 1958年建 |                                 1室1厅 | 32.12平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-630d696a-09b1-4f3e-99f2-4a14aec99fa4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,复旦小区一梯两户满五年距离大柏树站一千米边套全明,313万,高楼层(共6层)                                                    | 1987年建 |                                 2室1厅 | 57.68平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-c0757351-1939-4ff2-a3cd-d8643d3caf7f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,高区电梯房，婚房装修带地暖，2房1厅视线开阔,448万,中楼层(共22层)                                                    | 1998年建 |                                 2室1厅 | 75.11平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b4fe176b-1d54-4906-9f3f-a79c61b5b3ba.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,一房的价格买两房，一梯两户，户型正气，边套全明,230万,高楼层(共6层)                                                    | 1997年建 |                                 2室0厅 | 47.49平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-02da4fb9-2781-497e-ac23-ae3eab94963b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,明珠线，总价低，广灵路居委，虹口龙之梦,110万,中楼层(共5层)                                                    | 1958年建 |                                 1室0厅 | 22.44平米                                  | 西南,https://ke-image.ljcdn.com/shfdfs-image/20160201/5349d9cb-fb14-491e-aed1-db5fde356845.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,正宗顶楼复式   业主诚意出售价格可议，采光无遮挡,490万,高楼层(共6层)                                                    | 1995年建 |                                 3室2厅 | 117.03平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b2074120-fe9d-4311-9b0d-e7a0cd4f8687.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,两房朝南，厅厨朝北，户型格局方正，,360万,低楼层(共18层)                                                    | 1995年建 |                                 2室1厅 | 76.21平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8a0ec9e7-032f-40d8-b42a-9f951ff5d384.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,凉城4楼经典南北户型，采光优异，走过不要错过。,345万,中楼层(共6层)                                                    | 1991年建 |                                 2室1厅 | 61.57平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8161ea75-cdb0-4966-8cde-ecfdd606d893.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,两房朝南电梯房，厅朝南，业主诚意出售,498万,低楼层(共26层)                                                    | 1999年建 |                                 2室2厅 | 107.14平米                                  | 东南 南,https://ke-image.ljcdn.com/310000-inspection/prod-687d7a03-027b-4c6d-9569-4d0b72ff6081.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,虹口,凉城,正规3房 2房朝南 一房朝北 后面就是公园 看房方便,359万,高楼层(共6层)                                                    | 1995年建 |                                 3室1厅 | 73.37平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-2ea5466e-0afd-4694-9f6a-146eec1f13fc.png!m_fill,w_280,h_210,f_jpg?from=ke.com
