20190504,徐汇,徐汇滨江,高区景观房、满五唯一、产权干净、诚意出售,788万,中楼层(共37层)                                                    | 2009年建 |                                 1室2厅 | 67.1平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-1852ffcc-8eda-498e-80c4-73e7d832726d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,近滨江， 次新房，一梯二户，南北通透，婚房精装修。,630万,低楼层(共6层)                                                    | 2000年建 |                                 2室2厅 | 84.27平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-32b6ec38-9d8b-4c4f-a3fe-b9da1d31112b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,A2000年商品房+南北小2房东边套+一梯两户花园位置,350万,低楼层(共6层)                                                    | 2000年建 |                                 2室1厅 | 55.62平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/560472d3-e391-44f6-9ce8-a9a4be8e3ac7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,楼层佳 满五诚意售 南北2房 1梯2户 全明户型 近滨江,420万,低楼层(共6层)                                                    | 1998年建 |                                 2室1厅 | 74.53平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-21245e62-f985-412f-bca9-c9867ce8b8c0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,复式房源，实用性好，私密性优，人车分流,1600万,低楼层(共31层)                                                    | 2008年建 |                                 2室2厅 | 188.64平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-82fa45dc-d4b3-426a-868d-97177bb21397.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,毛坯板式三房 可自主设计性大   总价低 房型方正,1470万,低楼层(共31层)                                                    | 2013年建 |                                 3室2厅 | 166平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_upload0344c76e-a021-40af-99f5-6268d3098b5a.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,西边套1梯户，滨江大道一步之隔，98年刚翻新小区,300万,低楼层(共6层)                                                    | 1999年建 |                                 1室1厅 | 54.2平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-9f7f6c5e-6ee6-4402-bc8a-0a2a60bcc8fd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,中间楼层好 1梯2户  全明户型 小区环境好 适合居住,550万,中楼层(共6层)                                                    | 2000年建 |                                 2室1厅 | 89.32平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-b23adba6-5c87-4694-8286-47f3e2542a08.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,热点推荐三房，徐汇滨江无竞品，几年只出一套！！！,2985万,中楼层(共12层)                                                    | 2015年建 |                                 3室2厅 | 199.09平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-9f4d8eb0-4d90-45bb-b1f5-71fc13e17646.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,央企开发+大开间+正对小区景观+小高层,2300万,低楼层(共12层)                                                    | 2015年建 |                                 2室2厅 | 179.41平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20160506/9c8ef7d5-888c-446c-bf09-9954fceda220.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,顶楼复式带露台 视野开阔 物况好 精装修 随时看房,880万,高楼层(共6层)                                                    | 2000年建 |                                 4室3厅 | 179.7平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170616/1bb40cd4-8df2-4e5e-9a8f-14548d5977fb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,小区唯一在售A西边套+98年商品房+近徐汇滨江跑道公园,390万,高楼层(共6层)                                                    | 1998年建 |                                 2室1厅 | 72.54平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-9b566e85-d61e-4f78-a884-e713fd6b4823.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,高区江景大4房 私人订制装修 品质小区 闹中取静,4000万,高楼层(共19层)                                                    | 2012年建 |                                 4室2厅 | 288平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8253200a-7991-4646-bde5-9c9bf5fc164c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,徐汇滨江，景色优美，南北全明户型，边套客厅带窗户,400万,中楼层(共6层)                                                    | 1998年建 |                                 2室1厅 | 69.08平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b8a181a3-41b0-4d33-9c2c-0c3361846cff.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,前排+满五年唯一+正气3房+有钥匙,1900万,低楼层(共36层)                                                    | 2009年建 |                                 3室2厅 | 174.06平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-c60d7bb8-1b15-4fe5-9414-0766a386a42d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,A+ 你的院子是否也有四万万朵玫瑰花+售后公房成本低,390万,低楼层(共6层)                                                    | 1998年建 |                                 2室1厅 | 68.93平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/3167a6a0-2948-4344-89b1-700d03647389.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,徐汇滨江高区，满五唯一，采光好通风好，近黄浦江,380万,高楼层(共6层)                                                    | 1998年建 |                                 2室1厅 | 72.53平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b41b4715-07da-4d1b-8628-c35d65410270.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,南北通大三房，南北双阳台，龙南滨江板块，自住精装,780万,中楼层(共6层)                                                    | 2000年建 |                                 3室2厅 | 124.76平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_upload28220673-5e6a-4132-836f-ce6b65451d75.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,江景大两房 婚房装修  设计师独特风格 九小时日照,1449万,高楼层(共37层)                                                    | 2009年建 |                                 2室2厅 | 134.67平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/test-6e15f389-a359-40c2-a3d9-c547fb436d6a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,南北户型，采光好，可看江景，闹中取静，从未入住!,3650万,高楼层(共19层)                                                    | 2012年建 |                                 4室2厅 | 274.02平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a4420dc1-348f-413a-bd38-4cc48daad91a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
